Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
CWEN,KNN,0,0,chebyshev,11,6.222222222222222,10,-1,-1,3,10
 CWEN,RF,30,30,0,-1,7.333333333333333,10,-1,-1,-1,10
 CWEN,SVM,0,0,poly,-1,7.111111111111111,10,5,4,-1,10
 CWEN,ZR,0,0,0,0,6.777777777777778,10,-1,-1,-1,10
 CWEN,KNN,0,0,canberra,11,10.125,20,-1,-1,9,7
 CWEN,RF,30,50,0,-1,10.875,20,-1,-1,-1,7
 CWEN,SVM,0,0,linear,-1,11.875,20,0.5,1,-1,6
 CWEN,ZR,0,0,0,0,7.875,20,-1,-1,-1,0
 CWEN,KNN,0,0,chebyshev,11,15.5,30,-1,-1,3,9
 CWEN,RF,10,10,0,-1,17.5,30,-1,-1,-1,8
 CWEN,SVM,0,0,linear,-1,18.0,30,0.5,1,-1,0
 CWEN,ZR,0,0,0,0,12.5,30,-1,-1,-1,0
 CWEN,KNN,0,0,chebyshev,11,17.333333333333332,40,-1,-1,9,8
 CWEN,RF,10,20,0,-1,15.666666666666666,40,-1,-1,-1,7
 CWEN,SVM,0,0,poly,-1,16.666666666666668,40,10,1,-1,15
 CWEN,ZR,0,0,0,0,12.333333333333334,40,-1,-1,-1,9
 CWEN,KNN,0,0,euclidean,11,14.5,50,-1,-1,3,24
 CWEN,RF,30,50,0,-1,14.0,50,-1,-1,-1,28
 CWEN,SVM,0,0,poly,-1,14.5,50,100,3,-1,27
 CWEN,ZR,0,0,0,0,5.0,50,-1,-1,-1,29
 CWEN,KNN,0,0,euclidean,11,19.0,60,-1,-1,7,29
 CWEN,RF,10,30,0,-1,22.0,60,-1,-1,-1,28
 CWEN,SVM,0,0,poly,-1,17.0,60,100,3,-1,30
 CWEN,ZR,0,0,0,0,4.0,60,-1,-1,-1,29
 CWEN,KNN,0,0,euclidean,11,18.0,70,-1,-1,11,54
 CWEN,RF,20,40,0,-1,15.0,70,-1,-1,-1,59
 CWEN,SVM,0,0,poly,-1,16.0,70,100,3,-1,55
 CWEN,ZR,0,0,0,0,9.0,70,-1,-1,-1,68
 CWEN,KNN,0,0,chebyshev,11,-1,80,-1,-1,5,59
 CWEN,RF,10,10,0,-1,-1,80,-1,-1,-1,60
 CWEN,SVM,0,0,poly,-1,-1,80,5,3,-1,57
 CWEN,ZR,0,0,0,0,-1,80,-1,-1,-1,49
 CWEN,KNN,0,0,canberra,11,-1,90,-1,-1,9,77
 CWEN,RF,10,30,0,-1,-1,90,-1,-1,-1,83
 CWEN,SVM,0,0,linear,-1,-1,90,0.5,1,-1,87
 CWEN,ZR,0,0,0,0,-1,90,-1,-1,-1,87
 CWEN,KNN,0,0,euclidean,11,-1,100,-1,-1,9,48
 CWEN,RF,30,40,0,-1,-1,100,-1,-1,-1,67
