Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
CWEN,KNN,0,0,canberra,15,5.333333333333333,10,-1,-1,7,5
 CWEN,RF,30,10,0,20,5.888888888888889,10,-1,-1,-1,5
 CWEN,SVM,0,0,poly,10,5.666666666666667,10,5,4,-1,5
 CWEN,ZR,0,0,0,0,4.444444444444445,10,-1,-1,-1,5
 CWEN,KNN,0,0,euclidean,15,12.857142857142858,20,-1,-1,9,9
 CWEN,RF,10,30,0,24,12.571428571428571,20,-1,-1,-1,15
 CWEN,SVM,0,0,poly,10,12.428571428571429,20,1,2,-1,14
 CWEN,ZR,0,0,0,0,10.428571428571429,20,-1,-1,-1,6
 CWEN,KNN,0,0,manhattan,10,21.5,30,-1,-1,7,8
 CWEN,RF,10,20,0,15,20.0,30,-1,-1,-1,6
 CWEN,SVM,0,0,poly,10,18.75,30,100,2,-1,5
 CWEN,ZR,0,0,0,0,15.25,30,-1,-1,-1,3
 CWEN,KNN,0,0,hamming,10,25.5,40,-1,-1,9,9
 CWEN,RF,30,40,0,10,26.5,40,-1,-1,-1,6
 CWEN,SVM,0,0,poly,15,27.5,40,0.5,1,-1,9
 CWEN,ZR,0,0,0,0,20.5,40,-1,-1,-1,8
 CWEN,KNN,0,0,hamming,10,33.5,50,-1,-1,7,19
 CWEN,RF,10,20,0,22,36.5,50,-1,-1,-1,32
 CWEN,SVM,0,0,poly,15,37.0,50,10,2,-1,31
 CWEN,ZR,0,0,0,0,15.5,50,-1,-1,-1,31
 CWEN,KNN,0,0,hamming,10,49.0,60,-1,-1,7,34
 CWEN,RF,10,30,0,22,33.0,60,-1,-1,-1,43
 CWEN,SVM,0,0,poly,15,45.0,60,10,2,-1,17
 CWEN,ZR,0,0,0,0,10.0,60,-1,-1,-1,34
 CWEN,KNN,0,0,hamming,15,-1,70,-1,-1,5,49
 CWEN,RF,10,20,0,10,-1,70,-1,-1,-1,40
 CWEN,SVM,0,0,poly,20,-1,70,100,3,-1,42
 CWEN,ZR,0,0,0,0,-1,70,-1,-1,-1,17
 CWEN,KNN,0,0,hamming,10,-1,80,-1,-1,3,55
 CWEN,RF,10,10,0,10,-1,80,-1,-1,-1,56
 CWEN,SVM,0,0,rbf,15,-1,80,0.5,1,-1,52
 CWEN,ZR,0,0,0,0,-1,80,-1,-1,-1,51
 CWEN,KNN,0,0,canberra,10,-1,90,-1,-1,11,73
 CWEN,RF,10,10,0,15,-1,90,-1,-1,-1,69
 CWEN,SVM,0,0,linear,10,-1,90,0.5,1,-1,73
 CWEN,ZR,0,0,0,0,-1,90,-1,-1,-1,73
 CWEN,KNN,0,0,hamming,10,-1,100,-1,-1,11,70
 CWEN,RF,10,10,0,22,-1,100,-1,-1,-1,70
 CWEN,SVM,0,0,linear,10,-1,100,0.5,1,-1,73
 CWEN,ZR,0,0,0,0,-1,100,-1,-1,-1,73
 INXN,KNN,0,0,chebyshev,10,7.888888888888889,10,-1,-1,3,1
 INXN,RF,30,10,0,15,7.777777777777778,10,-1,-1,-1,6
 INXN,SVM,0,0,poly,20,7.777777777777778,10,0.5,2,-1,9
 INXN,ZR,0,0,0,0,2.3333333333333335,10,-1,-1,-1,1
 INXN,KNN,0,0,braycurtis,10,13.666666666666666,20,-1,-1,11,10
 INXN,RF,50,50,0,15,13.11111111111111,20,-1,-1,-1,3
 INXN,SVM,0,0,poly,22,13.0,20,10,1,-1,9
 INXN,ZR,0,0,0,0,11.222222222222221,20,-1,-1,-1,10
 INXN,KNN,0,0,chebyshev,22,17.333333333333332,30,-1,-1,11,25
 INXN,RF,20,10,0,20,18.0,30,-1,-1,-1,23
 INXN,SVM,0,0,rbf,20,17.88888888888889,30,0.5,1,-1,26
 INXN,ZR,0,0,0,0,17.22222222222222,30,-1,-1,-1,28
 INXN,KNN,0,0,canberra,15,26.875,40,-1,-1,9,30
 INXN,RF,30,30,0,22,27.125,40,-1,-1,-1,32
 INXN,SVM,0,0,poly,10,27.875,40,5,3,-1,31
 INXN,ZR,0,0,0,0,24.75,40,-1,-1,-1,32
 INXN,KNN,0,0,canberra,20,31.833333333333332,50,-1,-1,11,45
