,Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
0,LAZ,RF,50,30,0,13,0.7128129602356407,10,-1,-1,-1,4
1, LAZ,RF,20,20,0,10,0.7511177347242921,20,-1,-1,-1,13
2, LAZ,RF,50,30,0,10,0.7420814479638009,30,-1,-1,-1,22
3, LAZ,RF,40,20,0,10,0.7648854961832061,40,-1,-1,-1,21
4, LAZ,RF,30,30,0,11,0.7635239567233385,50,-1,-1,-1,25
5, LAZ,RF,20,50,0,11,0.7652582159624414,60,-1,-1,-1,22
6, LAZ,RF,30,30,0,11,0.7638668779714739,70,-1,-1,-1,15
7, LAZ,RF,30,30,0,10,0.7576243980738363,80,-1,-1,-1,46
8, LAZ,RF,40,30,0,10,0.775609756097561,90,-1,-1,-1,55
9, LAZ,RF,30,20,0,18,0.7726523887973641,100,-1,-1,-1,32
10, IX,RF,50,20,0,10,0.743940990516333,10,-1,-1,-1,2
11, IX,RF,50,40,0,11,0.7725823591923485,20,-1,-1,-1,6
12, IX,RF,30,40,0,11,0.8060021436227224,30,-1,-1,-1,3
13, IX,RF,30,40,0,10,0.7913513513513514,40,-1,-1,-1,22
14, IX,RF,50,30,0,14,0.8080697928026173,50,-1,-1,-1,40
15, IX,RF,50,20,0,10,0.8404840484048405,60,-1,-1,-1,20
16, IX,RF,40,30,0,10,0.8190899001109878,70,-1,-1,-1,43
17, IX,RF,40,30,0,11,0.8219484882418813,80,-1,-1,-1,24
18, IX,RF,50,20,0,11,0.8169491525423729,90,-1,-1,-1,39
19, IX,RF,30,40,0,10,0.8152793614595211,100,-1,-1,-1,23
20, HUN,RF,40,30,0,10,0.7764876632801161,10,-1,-1,-1,7
21, HUN,RF,50,20,0,10,0.8046989720998532,20,-1,-1,-1,11
22, HUN,RF,50,30,0,10,0.8395245170876672,30,-1,-1,-1,12
23, HUN,RF,30,20,0,12,0.8571428571428571,40,-1,-1,-1,25
24, HUN,RF,20,40,0,11,0.84779299847793,50,-1,-1,-1,39
25, HUN,RF,50,30,0,10,0.8459167950693375,60,-1,-1,-1,24
26, HUN,RF,50,20,0,10,0.8424336973478939,70,-1,-1,-1,16
27, HUN,RF,40,20,0,11,0.8672985781990521,80,-1,-1,-1,37
28, HUN,RF,30,20,0,10,0.8512,90,-1,-1,-1,44
29, HUN,RF,30,50,0,11,0.8508914100486223,100,-1,-1,-1,42
30, KMT,RF,40,20,0,11,0.7141372141372141,10,-1,-1,-1,4
31, KMT,RF,50,30,0,11,0.8207547169811321,20,-1,-1,-1,7
32, KMT,RF,30,20,0,10,0.8192389006342494,30,-1,-1,-1,18
33, KMT,RF,20,40,0,10,0.8315565031982942,40,-1,-1,-1,13
34, KMT,RF,50,40,0,11,0.8268817204301075,50,-1,-1,-1,30
35, KMT,RF,30,50,0,11,0.8351409978308026,60,-1,-1,-1,36
36, KMT,RF,30,50,0,10,0.8293216630196937,70,-1,-1,-1,35
37, KMT,RF,50,40,0,13,0.8311258278145696,80,-1,-1,-1,44
38, KMT,RF,50,20,0,10,0.8285077951002228,90,-1,-1,-1,46
39, KMT,RF,50,30,0,22,0.8258426966292135,100,-1,-1,-1,59
40, BHP,RF,50,40,0,11,0.7107180020811654,10,-1,-1,-1,0
41, BHP,RF,30,50,0,10,0.7775445960125918,20,-1,-1,-1,6
42, BHP,RF,40,20,0,10,0.8,30,-1,-1,-1,16
43, BHP,RF,40,40,0,10,0.8110992529348986,40,-1,-1,-1,39
44, BHP,RF,50,20,0,10,0.8083961248654468,50,-1,-1,-1,21
45, BHP,RF,40,30,0,10,0.8023887079261672,60,-1,-1,-1,38
46, BHP,RF,20,40,0,10,0.8170865279299014,70,-1,-1,-1,39
47, BHP,RF,50,30,0,10,0.8187845303867404,80,-1,-1,-1,33
48, BHP,RF,30,50,0,10,0.7937569676700111,90,-1,-1,-1,57
49, BHP,RF,30,20,0,10,0.796400449943757,100,-1,-1,-1,66
50, CUZ,RF,50,30,0,11,0.7130977130977131,10,-1,-1,-1,9
51, CUZ,RF,20,40,0,13,0.7693920335429769,20,-1,-1,-1,5
52, CUZ,RF,20,20,0,10,0.7906976744186046,30,-1,-1,-1,25
53, CUZ,RF,40,50,0,11,0.8091684434968017,40,-1,-1,-1,20
54, CUZ,RF,50,40,0,10,0.8,50,-1,-1,-1,47
55, CUZ,RF,30,20,0,10,0.8134490238611713,60,-1,-1,-1,39
56, CUZ,RF,50,20,0,11,0.8238512035010941,70,-1,-1,-1,56
57, CUZ,RF,40,40,0,11,0.8068432671081678,80,-1,-1,-1,21
58, CUZ,RF,40,30,0,17,0.8251670378619154,90,-1,-1,-1,44
