Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
APH,RF,40,10,0,10,0.0,10,-1,-1,-1,0.9
 APH,KNN,-1,-1,braycurtis,10,0.0,10,-1,-1,3,1.0
 APH,RF,10,40,0,21,0.0,20,-1,-1,-1,0.3
 APH,KNN,-1,-1,hamming,15,0.0,20,-1,-1,3,0.8
 APH,RF,10,20,0,18,0.0,30,-1,-1,-1,0.4
 APH,KNN,-1,-1,chebyshev,15,0.0,30,-1,-1,3,0.9
 APH,RF,20,10,0,10,0.0,40,-1,-1,-1,1.0
 APH,KNN,-1,-1,hamming,11,0.0,40,-1,-1,3,1.0
 APH,RF,30,10,0,21,0.0,50,-1,-1,-1,0.9
 APH,KNN,-1,-1,manhattan,10,0.0,50,-1,-1,11,0.78
 APH,RF,20,20,0,18,0.0,60,-1,-1,-1,0.6833333333333333
 APH,KNN,-1,-1,chebyshev,13,0.0,60,-1,-1,3,0.8166666666666667
 APH,RF,10,30,0,13,0.0,70,-1,-1,-1,0.7714285714285715
 APH,KNN,-1,-1,manhattan,10,0.0,70,-1,-1,3,0.7571428571428571
 APH,RF,10,50,0,14,0.0,80,-1,-1,-1,0.8
 APH,KNN,-1,-1,hamming,12,0.0,80,-1,-1,9,0.725
 APH,RF,40,40,0,11,0.0,90,-1,-1,-1,0.9
 APH,KNN,-1,-1,braycurtis,10,0.0,90,-1,-1,3,0.7777777777777778
 APH,RF,50,20,0,15,0.0,100,-1,-1,-1,0.85
 APH,KNN,-1,-1,euclidean,10,0.0,100,-1,-1,11,0.89
 INXN,RF,10,20,0,15,0.0,10,-1,-1,-1,0.6
 INXN,KNN,-1,-1,canberra,18,0.0,10,-1,-1,7,0.7
 INXN,RF,10,20,0,14,0.0,20,-1,-1,-1,0.75
 INXN,KNN,-1,-1,chebyshev,16,0.0,20,-1,-1,7,0.65
 INXN,RF,10,10,0,10,0.0,30,-1,-1,-1,1.0
 INXN,KNN,-1,-1,euclidean,10,0.0,30,-1,-1,3,1.0
 INXN,RF,10,10,0,14,0.0,40,-1,-1,-1,0.925
 INXN,KNN,-1,-1,manhattan,10,0.0,40,-1,-1,3,0.9
 INXN,RF,20,40,0,12,0.0,50,-1,-1,-1,0.94
 INXN,KNN,-1,-1,manhattan,10,0.0,50,-1,-1,3,0.84
 INXN,RF,10,40,0,15,0.0,60,-1,-1,-1,0.7666666666666667
 INXN,KNN,-1,-1,hamming,10,0.0,60,-1,-1,3,0.65
 INXN,RF,40,10,0,17,0.0,70,-1,-1,-1,0.9285714285714286
 INXN,KNN,-1,-1,braycurtis,12,0.0,70,-1,-1,7,0.6571428571428571
 INXN,RF,40,20,0,23,0.0,80,-1,-1,-1,0.925
 INXN,KNN,-1,-1,canberra,10,0.0,80,-1,-1,9,0.85
 INXN,RF,10,40,0,10,0.0,90,-1,-1,-1,0.6333333333333333
 INXN,KNN,-1,-1,hamming,16,0.0,90,-1,-1,3,0.6444444444444445
 INXN,RF,10,30,0,23,0.0,100,-1,-1,-1,0.61
 INXN,KNN,-1,-1,hamming,18,0.0,100,-1,-1,7,0.7
 ABR,RF,10,40,0,10,0.0,10,-1,-1,-1,0.8
 ABR,KNN,-1,-1,chebyshev,11,0.0,10,-1,-1,3,0.8
 ABR,RF,30,40,0,22,0.0,20,-1,-1,-1,0.9
 ABR,KNN,-1,-1,euclidean,11,0.0,20,-1,-1,5,0.9
 ABR,RF,40,50,0,10,0.0,30,-1,-1,-1,0.8333333333333334
 ABR,KNN,-1,-1,euclidean,10,0.0,30,-1,-1,7,0.7666666666666667
 ABR,RF,20,10,0,10,0.0,40,-1,-1,-1,1.0
 ABR,KNN,-1,-1,chebyshev,10,0.0,40,-1,-1,3,1.0
 ABR,RF,10,40,0,10,0.0,50,-1,-1,-1,1.0
 ABR,KNN,-1,-1,canberra,10,0.0,50,-1,-1,3,1.0
 ABR,RF,10,20,0,23,0.0,60,-1,-1,-1,0.6
 ABR,KNN,-1,-1,hamming,12,0.0,60,-1,-1,7,0.8166666666666667
 ABR,RF,10,10,0,10,0.0,70,-1,-1,-1,0.6428571428571429
 ABR,KNN,-1,-1,hamming,20,0.0,70,-1,-1,5,0.7571428571428571
 ABR,RF,10,10,0,10,0.0,80,-1,-1,-1,0.75
 ABR,KNN,-1,-1,canberra,15,0.0,80,-1,-1,3,0.9125
 ABR,RF,20,40,0,11,0.0,90,-1,-1,-1,0.9888888888888889
 ABR,KNN,-1,-1,euclidean,10,0.0,90,-1,-1,3,0.9888888888888889
 ABR,RF,10,10,0,13,0.0,100,-1,-1,-1,0.55
 ABR,KNN,-1,-1,hamming,12,0.0,100,-1,-1,7,1.0
 CWEN,RF,20,50,0,10,0.0,10,-1,-1,-1,0.6
 CWEN,KNN,-1,-1,hamming,10,0.0,10,-1,-1,3,0.6
 CWEN,RF,10,10,0,13,0.0,20,-1,-1,-1,1.0
 CWEN,KNN,-1,-1,canberra,10,0.0,20,-1,-1,5,1.0
 CWEN,RF,10,20,0,16,0.0,30,-1,-1,-1,0.8333333333333334
 CWEN,KNN,-1,-1,euclidean,13,0.0,30,-1,-1,11,0.9
 CWEN,RF,10,40,0,12,0.0,40,-1,-1,-1,0.75
 CWEN,KNN,-1,-1,euclidean,15,0.0,40,-1,-1,11,0.8
 CWEN,RF,10,50,0,10,0.0,50,-1,-1,-1,0.62
 CWEN,KNN,-1,-1,manhattan,16,0.0,50,-1,-1,11,0.66
 CWEN,RF,10,50,0,22,0.0,60,-1,-1,-1,0.6833333333333333
 CWEN,KNN,-1,-1,hamming,11,0.0,60,-1,-1,5,0.8166666666666667
 CWEN,RF,10,40,0,19,0.0,70,-1,-1,-1,0.6285714285714286
 CWEN,KNN,-1,-1,hamming,16,0.0,70,-1,-1,7,0.6857142857142857
 CWEN,RF,10,20,0,14,0.0,80,-1,-1,-1,0.675
 CWEN,KNN,-1,-1,hamming,11,0.0,80,-1,-1,5,0.825
 CWEN,RF,40,30,0,19,0.0,90,-1,-1,-1,0.7555555555555555
 CWEN,KNN,-1,-1,canberra,12,0.0,90,-1,-1,3,0.8
 CWEN,RF,30,10,0,11,0.0,100,-1,-1,-1,0.73
 CWEN,KNN,-1,-1,chebyshev,13,0.0,100,-1,-1,11,0.75
 
