Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
HUN,RF,20,50,0,19,0.0,10,-1,-1,-1,1.0
 HUN,KNN,-1,-1,braycurtis,10,0.0,10,-1,-1,3,0.9
 HUN,RF,20,40,0,21,0.0,20,-1,-1,-1,0.9
 HUN,KNN,-1,-1,hamming,13,0.0,20,-1,-1,3,0.75
 HUN,RF,30,10,0,13,0.0,30,-1,-1,-1,0.9
 HUN,KNN,-1,-1,manhattan,10,0.0,30,-1,-1,3,0.8333333333333334
 HUN,RF,50,10,0,15,0.0,40,-1,-1,-1,0.925
 HUN,KNN,-1,-1,manhattan,15,0.0,40,-1,-1,7,0.9
 HUN,RF,10,10,0,10,0.0,50,-1,-1,-1,0.92
 HUN,KNN,-1,-1,euclidean,10,0.0,50,-1,-1,11,0.9
 HUN,RF,10,30,0,12,0.0,60,-1,-1,-1,0.6166666666666667
 HUN,KNN,-1,-1,hamming,11,0.0,60,-1,-1,11,0.8333333333333334
 HUN,RF,10,20,0,11,0.0,70,-1,-1,-1,0.44285714285714284
 HUN,KNN,-1,-1,hamming,10,0.0,70,-1,-1,3,0.8857142857142857
 HUN,RF,10,40,0,12,0.0,80,-1,-1,-1,0.625
 HUN,KNN,-1,-1,hamming,13,0.0,80,-1,-1,7,0.7125
 HUN,RF,10,30,0,10,0.0,90,-1,-1,-1,0.5888888888888889
 HUN,KNN,-1,-1,manhattan,16,0.0,90,-1,-1,3,0.6111111111111112
 HUN,RF,10,10,0,12,0.0,100,-1,-1,-1,0.66
 HUN,KNN,-1,-1,manhattan,16,0.0,100,-1,-1,11,0.76
 LAZ,RF,10,30,0,17,0.0,10,-1,-1,-1,0.9
 LAZ,KNN,-1,-1,canberra,20,0.0,10,-1,-1,5,1.0
 LAZ,RF,10,40,0,17,0.0,20,-1,-1,-1,0.95
 LAZ,KNN,-1,-1,manhattan,15,0.0,20,-1,-1,7,0.95
 LAZ,RF,30,10,0,16,0.0,30,-1,-1,-1,0.9
 LAZ,KNN,-1,-1,manhattan,10,0.0,30,-1,-1,7,0.7333333333333333
 LAZ,RF,50,20,0,23,0.0,40,-1,-1,-1,0.7
 LAZ,KNN,-1,-1,braycurtis,16,0.0,40,-1,-1,5,0.7
 LAZ,RF,40,20,0,11,0.0,50,-1,-1,-1,0.62
 LAZ,KNN,-1,-1,hamming,15,0.0,50,-1,-1,7,0.68
 LAZ,RF,10,40,0,13,0.0,60,-1,-1,-1,0.7
 LAZ,KNN,-1,-1,hamming,11,0.0,60,-1,-1,5,0.7
 LAZ,RF,10,40,0,14,0.0,70,-1,-1,-1,0.6428571428571429
 LAZ,KNN,-1,-1,hamming,10,0.0,70,-1,-1,5,0.8571428571428571
 LAZ,RF,10,20,0,18,0.0,80,-1,-1,-1,0.7125
 LAZ,KNN,-1,-1,chebyshev,11,0.0,80,-1,-1,11,0.6875
 LAZ,RF,10,20,0,10,0.0,90,-1,-1,-1,0.7
 LAZ,KNN,-1,-1,chebyshev,15,0.0,90,-1,-1,3,0.6777777777777778
 LAZ,RF,30,40,0,10,0.0,100,-1,-1,-1,0.58
 LAZ,KNN,-1,-1,hamming,16,0.0,100,-1,-1,9,0.63
 
