Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
LAZ,RF,50,50,0,21,0.5079646017699115,10,-1.0,0,-1,0.8
 LAZ,SVM,0,0,linear,13,0.535929203539823,10,100.0,0,-1,0.6
 LAZ,ZR,0,0,0,0,0.0,10,-1.0,0,-1,0.4
 LAZ,RF,40,10,0,18,0.525089605734767,20,-1.0,0,-1,0.8
 LAZ,SVM,0,0,rbf,17,0.5781362007168459,20,5.0,0,-1,0.45
 LAZ,ZR,0,0,0,0,0.0,20,-1.0,0,-1,0.5
 LAZ,RF,50,20,0,20,0.566606170598911,30,-1.0,0,-1,0.7
 LAZ,SVM,0,0,poly,11,0.5829401088929219,30,100.0,2,-1,0.6
 LAZ,ZR,0,0,0,0,0.0,30,-1.0,0,-1,0.6
 LAZ,RF,20,30,0,9,0.5629357798165138,40,-1.0,0,-1,0.5
 LAZ,SVM,0,0,linear,17,0.6113761467889908,40,10.0,0,-1,0.35
 LAZ,ZR,0,0,0,0,0.0,40,-1.0,0,-1,0.525
 LAZ,RF,20,40,0,10,0.549814126394052,50,-1.0,0,-1,0.56
 LAZ,SVM,0,0,linear,15,0.5557620817843866,50,5.0,0,-1,0.46
 LAZ,ZR,0,0,0,0,0.0,50,-1.0,0,-1,0.54
 LAZ,RF,20,20,0,22,0.5137476459510358,60,-1.0,0,-1,0.55
 LAZ,SVM,0,0,linear,15,0.5683615819209039,60,1.0,0,-1,0.3
 LAZ,ZR,0,0,0,0,0.0,60,-1.0,0,-1,0.3
 LAZ,RF,40,10,0,7,0.5527619047619048,70,-1.0,0,-1,0.15714285714285714
 LAZ,SVM,0,0,poly,15,0.5634285714285714,70,100.0,2,-1,0.3428571428571429
 LAZ,ZR,0,0,0,0,0.0,70,-1.0,0,-1,0.12857142857142856
 LAZ,RF,50,20,0,18,0.5258687258687259,80,-1.0,0,-1,0.3625
 LAZ,SVM,0,0,linear,21,0.5640926640926641,80,100.0,0,-1,0.4375
 LAZ,ZR,0,0,0,0,0.0,80,-1.0,0,-1,0.325
 LAZ,RF,20,10,0,23,0.5585127201565557,90,-1.0,0,-1,0.5444444444444444
 LAZ,SVM,0,0,linear,20,0.5667318982387476,90,0.5,0,-1,0.5
 LAZ,ZR,0,0,0,0,0.0,90,-1.0,0,-1,0.5
 LAZ,RF,30,40,0,2,0.5417821782178218,100,-1.0,0,-1,0.57
 LAZ,SVM,0,0,linear,12,0.546930693069307,100,5.0,0,-1,0.55
 LAZ,ZR,0,0,0,0,0.0,100,-1.0,0,-1,0.57
 IX,RF,40,30,0,12,0.4840506329113924,10,-1.0,0,-1,0.2
 IX,SVM,0,0,poly,22,0.5301265822784811,10,100.0,1,-1,0.2
 IX,ZR,0,0,0,0,0.0,10,-1.0,0,-1,0.0
 IX,RF,40,10,0,22,0.4911877394636016,20,-1.0,0,-1,0.2
 IX,SVM,0,0,rbf,16,0.5312899106002554,20,100.0,0,-1,0.9
 IX,ZR,0,0,0,0,0.0,20,-1.0,0,-1,0.9
 IX,RF,20,20,0,6,0.5368556701030928,30,-1.0,0,-1,0.06666666666666668
 IX,SVM,0,0,linear,20,0.5422680412371134,30,100.0,0,-1,0.2333333333333333
 IX,ZR,0,0,0,0,0.0,30,-1.0,0,-1,0.03333333333333333
 IX,RF,40,10,0,11,0.5561038961038961,40,-1.0,0,-1,0.65
 IX,SVM,0,0,linear,11,0.6306493506493507,40,100.0,0,-1,0.4
 IX,ZR,0,0,0,0,0.0,40,-1.0,0,-1,0.45
 IX,RF,30,40,0,7,0.5208387942332896,50,-1.0,0,-1,0.76
 IX,SVM,0,0,poly,17,0.509305373525557,50,100.0,2,-1,0.52
 IX,ZR,0,0,0,0,0.0,50,-1.0,0,-1,0.16
 IX,RF,40,30,0,10,0.4753968253968254,60,-1.0,0,-1,0.35
 IX,SVM,0,0,poly,12,0.5158730158730159,60,100.0,4,-1,0.18333333333333326
 IX,ZR,0,0,0,0,0.0,60,-1.0,0,-1,0.18333333333333326
 IX,RF,40,40,0,10,0.5298666666666667,70,-1.0,0,-1,0.7
 IX,SVM,0,0,poly,15,0.5104,70,100.0,3,-1,0.5
 IX,ZR,0,0,0,0,0.0,70,-1.0,0,-1,0.5
 IX,RF,40,20,0,3,0.5321668909825034,80,-1.0,0,-1,0.45
 IX,SVM,0,0,poly,13,0.4858681022880215,80,0.5,3,-1,0.6625
