Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
LAZ,RF,30,20,0,-1,0.42568542568542567,10,-1,-1,-1,5
 LAZ,SVM,-1,-1,poly,-1,0.481962481962482,10,0.5,2,-1,6
 LAZ,KNN,-1,-1,euclidean,11,0.4083694083694084,10,-1,-1,-1,7
 LAZ,RF,40,20,0,-1,0.5693430656934306,20,-1,-1,-1,10
 LAZ,SVM,-1,-1,rbf,-1,0.5678832116788322,20,100,1,-1,9
 LAZ,KNN,-1,-1,canberra,11,0.5080291970802919,20,-1,-1,-1,11
 LAZ,RF,30,50,0,-1,0.5420974889217134,30,-1,-1,-1,16
 LAZ,SVM,-1,-1,poly,-1,0.5539143279172821,30,0.5,2,-1,14
 LAZ,KNN,-1,-1,canberra,11,0.5288035450516987,30,-1,-1,-1,22
 LAZ,RF,50,30,0,-1,0.5515695067264574,40,-1,-1,-1,19
 LAZ,SVM,-1,-1,poly,-1,0.5904334828101644,40,0.5,2,-1,20
 LAZ,KNN,-1,-1,euclidean,11,0.5276532137518685,40,-1,-1,-1,15
 LAZ,RF,30,20,0,-1,0.556732223903177,50,-1,-1,-1,28
 LAZ,SVM,-1,-1,poly,-1,0.5718608169440242,50,5,3,-1,25
 LAZ,KNN,-1,-1,canberra,11,0.5370650529500757,50,-1,-1,-1,25
 LAZ,RF,30,10,0,-1,0.557427258805513,60,-1,-1,-1,22
 LAZ,SVM,-1,-1,poly,-1,0.5895865237366003,60,0.5,2,-1,21
 LAZ,KNN,-1,-1,euclidean,11,0.5390505359877489,60,-1,-1,-1,30
 LAZ,RF,20,40,0,-1,0.5891472868217055,70,-1,-1,-1,15
 LAZ,SVM,-1,-1,linear,-1,0.5891472868217055,70,0.5,1,-1,9
 LAZ,KNN,-1,-1,braycurtis,11,0.5395348837209303,70,-1,-1,-1,32
 LAZ,RF,20,10,0,-1,0.5667189952904239,80,-1,-1,-1,36
 LAZ,SVM,-1,-1,linear,-1,0.5714285714285714,80,0.5,1,-1,24
 LAZ,KNN,-1,-1,euclidean,11,0.5384615384615384,80,-1,-1,-1,36
 LAZ,RF,50,10,0,-1,0.5866454689984102,90,-1,-1,-1,46
 LAZ,SVM,-1,-1,poly,-1,0.6057233704292527,90,1,3,-1,42
 LAZ,KNN,-1,-1,euclidean,11,0.548489666136725,90,-1,-1,-1,49
 LAZ,RF,40,20,0,-1,0.5619967793880838,100,-1,-1,-1,41
 LAZ,SVM,-1,-1,linear,-1,0.5925925925925926,100,0.5,1,-1,48
 LAZ,KNN,-1,-1,canberra,11,0.5297906602254429,100,-1,-1,-1,31
 IX,RF,20,10,0,-1,0.5062370062370062,10,-1,-1,-1,7
 IX,SVM,-1,-1,rbf,-1,0.5114345114345115,10,1,1,-1,7
 IX,KNN,-1,-1,canberra,11,0.502079002079002,10,-1,-1,-1,6
 IX,RF,40,30,0,-1,0.5083857442348009,20,-1,-1,-1,5
 IX,SVM,-1,-1,poly,-1,0.5241090146750524,20,1,3,-1,10
 IX,KNN,-1,-1,hamming,11,0.4811320754716981,20,-1,-1,-1,6
 IX,RF,30,50,0,-1,0.5264270613107822,30,-1,-1,-1,5
 IX,SVM,-1,-1,poly,-1,0.5295983086680761,30,1,4,-1,5
 IX,KNN,-1,-1,braycurtis,11,0.5116279069767442,30,-1,-1,-1,5
 IX,RF,20,10,0,-1,0.5074626865671642,40,-1,-1,-1,23
 IX,SVM,-1,-1,poly,-1,0.5213219616204691,40,0.5,2,-1,19
 IX,KNN,-1,-1,euclidean,11,0.5213219616204691,40,-1,-1,-1,21
 IX,RF,50,30,0,-1,0.5010752688172043,50,-1,-1,-1,13
 IX,SVM,-1,-1,poly,-1,0.5290322580645161,50,0.5,2,-1,11
 IX,KNN,-1,-1,canberra,11,0.5053763440860215,50,-1,-1,-1,14
 IX,RF,30,30,0,-1,0.5368763557483731,60,-1,-1,-1,20
 IX,SVM,-1,-1,poly,-1,0.5553145336225597,60,100,2,-1,16
 IX,KNN,-1,-1,braycurtis,11,0.49023861171366595,60,-1,-1,-1,19
 IX,RF,40,40,0,-1,0.5448577680525164,70,-1,-1,-1,28
