Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
CWEN,RF,20,20,0,-1,0.6149732620320856,10,-1,-1,-1,4
 CWEN,SVM,-1,-1,poly,-1,0.5882352941176471,10,100,-1,-1,7
 CWEN,KNN,-1,-1,chebyshev,11,0.6042780748663101,10,-1,-1,11,6
 CWEN,ZR,-1,-1,0,0,0.5935828877005348,10,-1,-1,-1,4
 CWEN,RF,10,30,0,-1,0.39106145251396646,20,-1,-1,-1,17
 CWEN,SVM,-1,-1,poly,-1,0.4022346368715084,20,0.5,-1,-1,20
 CWEN,KNN,-1,-1,canberra,11,0.4301675977653631,20,-1,-1,7,14
 CWEN,ZR,-1,-1,0,0,0.4022346368715084,20,-1,-1,-1,20
 CWEN,RF,10,50,0,-1,0.5614035087719298,30,-1,-1,-1,12
 CWEN,SVM,-1,-1,rbf,-1,0.5672514619883041,30,0.5,-1,-1,15
 CWEN,KNN,-1,-1,hamming,11,0.5555555555555556,30,-1,-1,7,15
 CWEN,ZR,-1,-1,0,0,0.5263157894736842,30,-1,-1,-1,15
 CWEN,RF,10,20,0,-1,0.558282208588957,40,-1,-1,-1,21
 CWEN,SVM,-1,-1,poly,-1,0.5705521472392638,40,1,-1,-1,27
 CWEN,KNN,-1,-1,hamming,11,0.49693251533742333,40,-1,-1,3,28
 CWEN,ZR,-1,-1,0,0,0.558282208588957,40,-1,-1,-1,27
 CWEN,RF,20,40,0,-1,0.5741935483870968,50,-1,-1,-1,19
 CWEN,SVM,-1,-1,poly,-1,0.6064516129032258,50,100,-1,-1,26
 CWEN,KNN,-1,-1,manhattan,11,0.5483870967741935,50,-1,-1,7,22
 CWEN,ZR,-1,-1,0,0,0.6129032258064516,50,-1,-1,-1,8
 CWEN,RF,20,30,0,-1,0.5510204081632653,60,-1,-1,-1,20
 CWEN,SVM,-1,-1,poly,-1,0.6190476190476191,60,100,-1,-1,31
 CWEN,KNN,-1,-1,hamming,11,0.47619047619047616,60,-1,-1,3,33
 CWEN,ZR,-1,-1,0,0,0.6122448979591837,60,-1,-1,-1,4
 CWEN,RF,40,50,0,-1,0.5539568345323741,70,-1,-1,-1,19
 CWEN,SVM,-1,-1,rbf,-1,0.5971223021582733,70,100,-1,-1,28
 CWEN,KNN,-1,-1,manhattan,11,0.5755395683453237,70,-1,-1,11,21
 CWEN,ZR,-1,-1,0,0,0.6402877697841727,70,-1,-1,-1,9
 CWEN,RF,40,30,0,-1,0.6259541984732825,80,-1,-1,-1,54
 CWEN,SVM,-1,-1,linear,-1,0.5877862595419847,80,0.5,-1,-1,49
 CWEN,KNN,-1,-1,euclidean,11,0.5648854961832062,80,-1,-1,7,50
 CWEN,ZR,-1,-1,0,0,0.5877862595419847,80,-1,-1,-1,49
 CWEN,RF,20,20,0,-1,0.5853658536585366,90,-1,-1,-1,79
 CWEN,SVM,-1,-1,linear,-1,0.6016260162601627,90,0.5,-1,-1,87
 CWEN,KNN,-1,-1,chebyshev,11,0.6097560975609756,90,-1,-1,11,87
 CWEN,ZR,-1,-1,0,0,0.6016260162601627,90,-1,-1,-1,87
 CWEN,RF,50,50,0,-1,0.6086956521739131,100,-1,-1,-1,71
 CWEN,SVM,-1,-1,linear,-1,0.6,100,0.5,-1,-1,97
 CWEN,KNN,-1,-1,chebyshev,11,0.591304347826087,100,-1,-1,7,90
 CWEN,ZR,-1,-1,0,0,0.6,100,-1,-1,-1,97
 INXN,RF,40,10,0,-1,0.6129032258064516,10,-1,-1,-1,7
 INXN,SVM,-1,-1,rbf,-1,0.6104218362282878,10,10,-1,-1,7
 INXN,KNN,-1,-1,canberra,11,0.5707196029776674,10,-1,-1,3,8
 INXN,ZR,-1,-1,0,0,0.5856079404466501,10,-1,-1,-1,7
 INXN,RF,10,20,0,-1,0.42025316455696204,20,-1,-1,-1,10
 INXN,SVM,-1,-1,poly,-1,0.3949367088607595,20,100,-1,-1,9
 INXN,KNN,-1,-1,hamming,11,0.3670886075949367,20,-1,-1,5,13
 INXN,ZR,-1,-1,0,0,0.3924050632911392,20,-1,-1,-1,4
 INXN,RF,20,30,0,-1,0.4444444444444444,30,-1,-1,-1,25
 INXN,SVM,-1,-1,poly,-1,0.4599483204134367,30,0.5,-1,-1,28
 INXN,KNN,-1,-1,canberra,11,0.3979328165374677,30,-1,-1,11,27
 INXN,ZR,-1,-1,0,0,0.4599483204134367,30,-1,-1,-1,28
 INXN,RF,10,50,0,-1,0.5171503957783641,40,-1,-1,-1,36
 INXN,SVM,-1,-1,rbf,-1,0.5329815303430079,40,10,-1,-1,36
 INXN,KNN,-1,-1,braycurtis,11,0.5092348284960422,40,-1,-1,9,33
 INXN,ZR,-1,-1,0,0,0.5118733509234829,40,-1,-1,-1,36
 INXN,RF,10,40,0,-1,0.5471698113207547,50,-1,-1,-1,34
 INXN,SVM,-1,-1,linear,-1,0.5417789757412399,50,0.5,-1,-1,32
 INXN,KNN,-1,-1,euclidean,11,0.5309973045822103,50,-1,-1,11,32
 INXN,ZR,-1,-1,0,0,0.5417789757412399,50,-1,-1,-1,32
 INXN,RF,10,40,0,-1,0.5399449035812672,60,-1,-1,-1,22
 INXN,SVM,-1,-1,poly,-1,0.5702479338842975,60,100,-1,-1,29
 INXN,KNN,-1,-1,chebyshev,11,0.5013774104683195,60,-1,-1,9,36
 INXN,ZR,-1,-1,0,0,0.5895316804407713,60,-1,-1,-1,17
 INXN,RF,20,40,0,-1,0.6084507042253521,70,-1,-1,-1,42
 INXN,SVM,-1,-1,poly,-1,0.6084507042253521,70,5,-1,-1,41
 INXN,KNN,-1,-1,canberra,11,0.5887323943661972,70,-1,-1,5,48
 INXN,ZR,-1,-1,0,0,0.5887323943661972,70,-1,-1,-1,41
 INXN,RF,20,10,0,-1,0.5446685878962536,80,-1,-1,-1,59
 INXN,SVM,-1,-1,poly,-1,0.579250720461095,80,100,-1,-1,56
 INXN,KNN,-1,-1,manhattan,11,0.547550432276657,80,-1,-1,11,57
 INXN,ZR,-1,-1,0,0,0.5763688760806917,80,-1,-1,-1,55
