Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
CWEN,SVM,-1,-1,linear,21.0,0.5780346820809249,10,100.0,1.0,-1.0,2.0
 CWEN,KNN,-1,-1,canberra,21.0,0.5317919075144508,10,-1.0,-1.0,3.0,6.0
 CWEN,SVM,-1,-1,poly,23.0,0.5818181818181818,20,100.0,1.0,-1.0,15.0
 CWEN,KNN,-1,-1,euclidean,11.0,0.7696969696969697,20,-1.0,-1.0,3.0,20.0
 CWEN,SVM,-1,-1,linear,20.0,0.5987261146496815,30,100.0,1.0,-1.0,17.0
 CWEN,KNN,-1,-1,manhattan,16.0,0.6624203821656051,30,-1.0,-1.0,5.0,27.0
 CWEN,SVM,-1,-1,linear,10.0,0.5906040268456376,40,100.0,1.0,-1.0,29.0
 CWEN,KNN,-1,-1,euclidean,17.0,0.5436241610738255,40,-1.0,-1.0,7.0,30.0
 CWEN,SVM,-1,-1,linear,20.0,0.6595744680851063,50,100.0,1.0,-1.0,33.0
 CWEN,KNN,-1,-1,hamming,20.0,0.5460992907801419,50,-1.0,-1.0,9.0,33.0
 CWEN,SVM,-1,-1,poly,23.0,0.6390977443609023,60,100.0,3.0,-1.0,33.0
 CWEN,KNN,-1,-1,euclidean,10.0,0.6616541353383458,60,-1.0,-1.0,3.0,46.0
 CWEN,SVM,-1,-1,poly,23.0,0.616,70,100.0,2.0,-1.0,30.0
 CWEN,KNN,-1,-1,hamming,10.0,0.424,70,-1.0,-1.0,5.0,44.0
 CWEN,SVM,-1,-1,linear,10.0,0.5641025641025641,80,0.5,1.0,-1.0,51.0
 CWEN,KNN,-1,-1,hamming,12.0,0.5982905982905983,80,-1.0,-1.0,7.0,67.0
 CWEN,SVM,-1,-1,linear,10.0,0.5779816513761468,90,0.5,1.0,-1.0,73.0
 CWEN,KNN,-1,-1,hamming,13.0,0.5596330275229358,90,-1.0,-1.0,5.0,73.0
 CWEN,SVM,-1,-1,poly,23.0,0.6039603960396039,100,1.0,3.0,-1.0,75.0
