Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
CWEN,SVM,-1,-1,linear,21,0.5780346820809249,10,100,1,-1,2
 CWEN,KNN,-1,-1,canberra,21,0.5317919075144508,10,-1,-1,3,6
 CWEN,SVM,-1,-1,poly,23,0.5818181818181818,20,100,1,-1,15
 CWEN,KNN,-1,-1,euclidean,11,0.7696969696969697,20,-1,-1,3,20
 CWEN,SVM,-1,-1,linear,20,0.5987261146496815,30,100,1,-1,17
 CWEN,KNN,-1,-1,manhattan,16,0.6624203821656051,30,-1,-1,5,27
 CWEN,SVM,-1,-1,linear,10,0.5906040268456376,40,100,1,-1,29
 CWEN,KNN,-1,-1,euclidean,17,0.5436241610738255,40,-1,-1,7,30
 CWEN,SVM,-1,-1,linear,20,0.6595744680851063,50,100,1,-1,33
 CWEN,KNN,-1,-1,hamming,20,0.5460992907801419,50,-1,-1,9,33
 CWEN,SVM,-1,-1,poly,23,0.6390977443609023,60,100,3,-1,33
 CWEN,KNN,-1,-1,euclidean,10,0.6616541353383458,60,-1,-1,3,46
 CWEN,SVM,-1,-1,poly,23,0.616,70,100,2,-1,30
 CWEN,KNN,-1,-1,hamming,10,0.424,70,-1,-1,5,44
 CWEN,SVM,-1,-1,linear,10,0.5641025641025641,80,0.5,1,-1,51
 CWEN,KNN,-1,-1,hamming,12,0.5982905982905983,80,-1,-1,7,67
 CWEN,SVM,-1,-1,linear,10,0.5779816513761468,90,0.5,1,-1,73
 CWEN,KNN,-1,-1,hamming,13,0.5596330275229358,90,-1,-1,5,73
 CWEN,SVM,-1,-1,poly,23,0.6039603960396039,100,1,3,-1,75
 CWEN,KNN,-1,-1,manhattan,11,0.6039603960396039,100,-1,-1,5,74
 INXN,SVM,-1,-1,linear,20,0.583547557840617,10,100,1,-1,6
 INXN,KNN,-1,-1,canberra,19,0.570694087403599,10,-1,-1,3,7
 INXN,SVM,-1,-1,poly,23,0.6220472440944882,20,100,2,-1,13
 INXN,KNN,-1,-1,manhattan,15,0.6010498687664042,20,-1,-1,7,15
 INXN,SVM,-1,-1,linear,20,0.6568364611260054,30,10,1,-1,30
 INXN,KNN,-1,-1,braycurtis,10,0.7855227882037533,30,-1,-1,7,30
 INXN,SVM,-1,-1,linear,16,0.684931506849315,40,100,1,-1,36
 INXN,KNN,-1,-1,braycurtis,10,0.8,40,-1,-1,7,36
 INXN,SVM,-1,-1,poly,23,0.6246498599439776,50,100,4,-1,36
 INXN,KNN,-1,-1,canberra,10,0.7338935574229691,50,-1,-1,7,40
 INXN,SVM,-1,-1,poly,23,0.6189111747851003,60,100,4,-1,19
 INXN,KNN,-1,-1,braycurtis,10,0.7765042979942693,60,-1,-1,5,42
 INXN,SVM,-1,-1,poly,23,0.6715542521994134,70,100,2,-1,40
 INXN,KNN,-1,-1,hamming,16,0.5542521994134897,70,-1,-1,3,49
 INXN,SVM,-1,-1,linear,23,0.6006006006006006,80,100,1,-1,62
 INXN,KNN,-1,-1,manhattan,11,0.7747747747747747,80,-1,-1,5,67
 INXN,SVM,-1,-1,linear,21,0.6061538461538462,90,100,1,-1,53
 INXN,KNN,-1,-1,chebyshev,22,0.5969230769230769,90,-1,-1,5,57
 INXN,SVM,-1,-1,poly,23,0.6466876971608833,100,0.5,1,-1,54
 INXN,KNN,-1,-1,hamming,16,0.5646687697160884,100,-1,-1,11,70
