Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
GPJA,SVM,0,0,Linear,-1,-1,10,-1,-1
 GPJA,ZR,0,0,0,0,nan,10,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,20,-1,-1
 GPJA,ZR,0,0,0,0,nan,20,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,30,-1,-1
 GPJA,ZR,0,0,0,0,nan,30,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,40,-1,-1
 GPJA,ZR,0,0,0,0,nan,40,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,50,-1,-1
 GPJA,ZR,0,0,0,0,nan,50,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,60,-1,-1
 GPJA,ZR,0,0,0,0,nan,60,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,70,-1,-1
 GPJA,ZR,0,0,0,0,nan,70,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,80,-1,-1
 GPJA,ZR,0,0,0,0,nan,80,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,90,-1,-1
 GPJA,ZR,0,0,0,0,nan,90,-1,-1
 GPJA,SVM,0,0,Linear,-1,-1,100,-1,-1
 GPJA,ZR,0,0,0,0,nan,100,-1,-1
 SJIU,SVM,0,0,Linear,10,8.666666666666666,10,0.5,-1
 SJIU,ZR,0,0,0,0,8.666666666666666,10,-1,-1
 SJIU,SVM,0,0,Linear,10,10.0,20,0.5,-1
 SJIU,ZR,0,0,0,0,10.0,20,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,30,-1,-1
 SJIU,ZR,0,0,0,0,nan,30,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,40,-1,-1
 SJIU,ZR,0,0,0,0,nan,40,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,50,-1,-1
 SJIU,ZR,0,0,0,0,nan,50,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,60,-1,-1
 SJIU,ZR,0,0,0,0,nan,60,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,70,-1,-1
 SJIU,ZR,0,0,0,0,nan,70,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,80,-1,-1
 SJIU,ZR,0,0,0,0,nan,80,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,90,-1,-1
 SJIU,ZR,0,0,0,0,nan,90,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,100,-1,-1
 SJIU,ZR,0,0,0,0,nan,100,-1,-1
 FRAC,SVM,0,0,Linear,15,7.666666666666667,10,0.5,-1
 FRAC,ZR,0,0,0,0,7.111111111111111,10,-1,-1
 FRAC,SVM,0,0,Linear,25,13.75,20,0.5,-1
 FRAC,ZR,0,0,0,0,13.5,20,-1,-1
 FRAC,SVM,0,0,Linear,10,18.5,30,5,-1
 FRAC,ZR,0,0,0,0,17.5,30,-1,-1
 FRAC,SVM,0,0,Linear,10,27.5,40,0.5,-1
 FRAC,ZR,0,0,0,0,18.5,40,-1,-1
 FRAC,SVM,0,0,Linear,10,21.0,50,0.5,-1
 FRAC,ZR,0,0,0,0,21.0,50,-1,-1
 FRAC,SVM,0,0,Linear,10,47.0,60,0.5,-1
 FRAC,ZR,0,0,0,0,47.0,60,-1,-1
