Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
AGRO,KNN,0,0,hamming,0,0.37656903765690375,10,10
 AHC,KNN,0,0,euclidean,0,0.5128865979381443,10,6
 AHT,KNN,0,0,manhattan,0,0.5269168026101142,10,2
 ABR,KNN,0,0,euclidean,0,0.6288659793814433,10,6
 AFL,KNN,0,0,canberra,0,0.7854500616522812,10,10
 AGN,KNN,0,0,hamming,0,0.5450061652281134,10,10
 AKR,KNN,0,0,euclidean,0,0.6431226765799256,10,9
 AEM,KNN,0,0,manhattan,0,0.4956843403205919,10,7
 AGRO,KNN,0,0,euclidean,0,0.5151515151515151,20,11
 AHC,KNN,0,0,canberra,0,0.6,20,15
 ABR,KNN,0,0,hamming,0,0.42857142857142855,20,8
 AHT,KNN,0,0,hamming,0,0.4743801652892562,20,16
 AFL,KNN,0,0,braycurtis,0,0.6127023661270237,20,16
 AKR,KNN,0,0,euclidean,0,0.5219023779724656,20,16
 AGN,KNN,0,0,euclidean,0,0.5255292652552926,20,14
 AGRO,KNN,0,0,euclidean,0,0.6322869955156951,30,20
 AEM,KNN,0,0,manhattan,0,0.5678704856787049,20,18
 AHC,KNN,0,0,canberra,0,0.6424731182795699,30,18
 ABR,KNN,0,0,hamming,0,0.43992932862190814,30,8
 AHT,KNN,0,0,euclidean,0,0.6164154103852596,30,21
 AGRO,KNN,0,0,canberra,0,0.6930232558139535,40,30
 AHC,KNN,0,0,canberra,0,0.6703296703296703,40,28
 AFL,KNN,0,0,euclidean,0,0.5962264150943396,30,23
 AKR,KNN,0,0,braycurtis,0,0.572692793931732,30,16
 AGN,KNN,0,0,euclidean,0,0.6251572327044025,30,23
 AEM,KNN,0,0,canberra,0,0.640251572327044,30,17
 ABR,KNN,0,0,euclidean,0,0.6111111111111112,40,40
 AHT,KNN,0,0,euclidean,0,0.5959252971137521,40,30
 AGRO,KNN,0,0,hamming,0,0.5507246376811594,50,31
 AHC,KNN,0,0,euclidean,0,0.6235955056179775,50,41
 AFL,KNN,0,0,canberra,0,0.6709021601016518,40,22
 AGN,KNN,0,0,braycurtis,0,0.6836086404066074,40,22
 AKR,KNN,0,0,hamming,0,0.48531289910600256,40,21
 AGRO,KNN,0,0,euclidean,0,0.7035175879396985,60,37
 AEM,KNN,0,0,braycurtis,0,0.590851334180432,40,27
 ABR,KNN,0,0,manhattan,0,0.649090909090909,50,34
 AHT,KNN,0,0,manhattan,0,0.6609294320137694,50,39
 AHC,KNN,0,0,braycurtis,0,0.6609195402298851,60,45
