Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
AGRO,KNN,0,0,hamming,0,0.3807531380753138,10,7
 AHC,KNN,0,0,hamming,0,0.46134020618556704,10,5
 AHT,KNN,0,0,chebyshev,0,0.4796084828711256,10,4
 ABR,KNN,0,0,euclidean,0,0.6580756013745704,10,7
 AGN,KNN,0,0,hamming,0,0.5561035758323057,10,9
 AKR,KNN,0,0,hamming,0,0.5229244114002478,10,9
 AFL,KNN,0,0,chebyshev,0,0.7607891491985204,10,7
 AEM,KNN,0,0,manhattan,0,0.4956843403205919,10,3
 AGRO,KNN,0,0,euclidean,0,0.5324675324675324,20,12
 AHC,KNN,0,0,chebyshev,0,0.5157894736842106,20,13
 ABR,KNN,0,0,hamming,0,0.4442508710801394,20,9
 AHT,KNN,0,0,hamming,0,0.44297520661157025,20,17
 AGN,KNN,0,0,euclidean,0,0.5404732254047323,20,14
 AKR,KNN,0,0,canberra,0,0.5844806007509387,20,10
 AFL,KNN,0,0,hamming,0,0.40722291407222916,20,12
 AEM,KNN,0,0,canberra,0,0.6064757160647571,20,11
 AGRO,KNN,0,0,braycurtis,0,0.7219730941704036,30,17
 AHC,KNN,0,0,euclidean,0,0.6021505376344086,30,23
 ABR,KNN,0,0,manhattan,0,0.6183745583038869,30,20
 AHT,KNN,0,0,hamming,0,0.509212730318258,30,22
 AGRO,KNN,0,0,manhattan,0,0.641860465116279,40,28
 AKR,KNN,0,0,canberra,0,0.6245259165613148,30,12
 AFL,KNN,0,0,euclidean,0,0.6037735849056604,30,24
 AEM,KNN,0,0,braycurtis,0,0.6264150943396226,30,21
 AGN,KNN,0,0,hamming,0,0.4779874213836478,30,13
 AHC,KNN,0,0,chebyshev,0,0.5769230769230769,40,19
 ABR,KNN,0,0,braycurtis,0,0.6397849462365591,40,29
 AGRO,KNN,0,0,hamming,0,0.5555555555555556,50,29
 AHT,KNN,0,0,chebyshev,0,0.5755517826825127,40,30
 AHC,KNN,0,0,manhattan,0,0.6910112359550562,50,32
 AKR,KNN,0,0,braycurtis,0,0.6130268199233716,40,22
 AEM,KNN,0,0,manhattan,0,0.5819567979669632,40,22
 AFL,KNN,0,0,manhattan,0,0.6226175349428208,40,20
 AGN,KNN,0,0,canberra,0,0.7077509529860229,40,20
 AGRO,KNN,0,0,chebyshev,0,0.6683417085427136,60,40
 ABR,KNN,0,0,hamming,0,0.49454545454545457,50,35
 AHT,KNN,0,0,chebyshev,0,0.5851979345955249,50,31
 AHC,KNN,0,0,chebyshev,0,0.6206896551724138,60,27
 AGRO,KNN,0,0,canberra,0,0.7382198952879581,70,41
 AKR,KNN,0,0,chebyshev,0,0.5587096774193548,50,29
 AFL,KNN,0,0,canberra,0,0.6213093709884467,50,31
 ABR,KNN,0,0,hamming,0,0.45018450184501846,60,33
 AEM,KNN,0,0,hamming,0,0.4993581514762516,50,36
 AGN,KNN,0,0,canberra,0,0.7445442875481386,50,29
 AHT,KNN,0,0,hamming,0,0.5497382198952879,60,29
 AHC,KNN,0,0,chebyshev,0,0.5764705882352941,70,41
 AGRO,KNN,0,0,braycurtis,0,0.726775956284153,80,50
 ABR,KNN,0,0,chebyshev,0,0.5936329588014981,70,43
 AHT,KNN,0,0,manhattan,0,0.6265486725663717,70,42
 AEM,KNN,0,0,hamming,0,0.522697795071336,60,35
 AKR,KNN,0,0,euclidean,0,0.6531942633637549,60,35
 AFL,KNN,0,0,chebyshev,0,0.5395590142671854,60,32
 AHC,KNN,0,0,chebyshev,0,0.5602409638554217,80,49
 AGN,KNN,0,0,euclidean,0,0.6264591439688716,60,41
 AGRO,KNN,0,0,hamming,0,0.5485714285714286,90,50
 ABR,KNN,0,0,chebyshev,0,0.6349809885931559,80,54
 AGRO,KNN,0,0,hamming,0,0.562874251497006,100,58
 AHC,KNN,0,0,hamming,0,0.5895061728395061,90,51
 AHT,KNN,0,0,euclidean,0,0.5763016157989228,80,48
 AEM,KNN,0,0,braycurtis,0,0.6055045871559633,70,43
 AFL,KNN,0,0,euclidean,0,0.6146788990825688,70,55
 AKR,KNN,0,0,braycurtis,0,0.6706192358366272,70,47
 AGN,KNN,0,0,canberra,0,0.7352555701179554,70,46
 AHC,KNN,0,0,hamming,0,0.5949367088607594,100,53
 ABR,KNN,0,0,euclidean,0,0.6505791505791506,90,61
 AHT,KNN,0,0,chebyshev,0,0.575591985428051,90,58
 AEM,KNN,0,0,euclidean,0,0.5947019867549669,80,43
 AFL,KNN,0,0,hamming,0,0.45165562913907287,80,45
 AKR,KNN,0,0,canberra,0,0.6671105193075899,80,48
 AGN,KNN,0,0,hamming,0,0.5165562913907285,80,46
 ABR,KNN,0,0,canberra,0,0.7274509803921568,100,78
 AHT,KNN,0,0,braycurtis,0,0.6210720887245841,100,71
 AEM,KNN,0,0,chebyshev,0,0.570281124497992,90,54
 AKR,KNN,0,0,canberra,0,0.6890982503364738,90,68
 AFL,KNN,0,0,braycurtis,0,0.6639892904953146,90,51
 AGN,KNN,0,0,braycurtis,0,0.713520749665328,90,57
 ALK,KNN,0,0,euclidean,0,0.5043156596794082,10,7
 AEM,KNN,0,0,euclidean,0,0.6089309878213802,100,68
 AKR,KNN,0,0,euclidean,0,0.6707482993197279,100,64
 AFL,KNN,0,0,chebyshev,0,0.577807848443843,100,55
 AGN,KNN,0,0,manhattan,0,0.6860622462787551,100,66
 APY,KNN,0,0,error,0,-1,10,-1
 AQ,KNN,0,0,error,0,-1,10,-1
 APY,KNN,0,0,error,0,-1,20,-1
 AQ,KNN,0,0,error,0,-1,20,-1
 APY,KNN,0,0,error,0,-1,30,-1
 AQ,KNN,0,0,error,0,-1,30,-1
 APY,KNN,0,0,error,0,-1,40,-1
 AQ,KNN,0,0,error,0,-1,40,-1
 APY,KNN,0,0,error,0,-1,50,-1
 AQ,KNN,0,0,error,0,-1,50,-1
 APY,KNN,0,0,error,0,-1,60,-1
 APY,KNN,0,0,error,0,-1,70,-1
 AQ,KNN,0,0,error,0,-1,60,-1
 APY,KNN,0,0,error,0,-1,80,-1
 AQ,KNN,0,0,error,0,-1,70,-1
 APY,KNN,0,0,error,0,-1,90,-1
 AQ,KNN,0,0,error,0,-1,80,-1
 APY,KNN,0,0,error,0,-1,100,-1
 AQ,KNN,0,0,error,0,-1,90,-1
 AQ,KNN,0,0,error,0,-1,100,-1
 ALK,KNN,0,0,euclidean,0,0.5678704856787049,20,10
 ANET,KNN,0,0,chebyshev,0,0.5285714285714286,10,9
 AMP,KNN,0,0,canberra,0,0.6719056974459725,10,8
 AMG,KNN,0,0,euclidean,0,0.5782983970406905,10,9
 AON,KNN,0,0,chebyshev,0,0.7385943279901356,10,6
 APH,KNN,0,0,chebyshev,0,0.654747225647349,10,9
 ANET,KNN,0,0,hamming,0,0.5,20,13
 ALK,KNN,0,0,canberra,0,0.670440251572327,30,16
 AMP,KNN,0,0,canberra,0,0.562874251497006,20,12
 ANET,KNN,0,0,canberra,0,0.6481481481481481,30,28
 AMG,KNN,0,0,euclidean,0,0.5367372353673724,20,9
 AON,KNN,0,0,chebyshev,0,0.564134495641345,20,14
 APH,KNN,0,0,canberra,0,0.5965130759651308,20,10
 ALK,KNN,0,0,euclidean,0,0.6594663278271918,40,23
 ANET,KNN,0,0,canberra,0,0.8260869565217391,40,28
 AMP,KNN,0,0,hamming,0,0.4969574036511156,30,14
 AMG,KNN,0,0,braycurtis,0,0.6276729559748427,30,26
 AON,KNN,0,0,canberra,0,0.670440251572327,30,11
 APH,KNN,0,0,hamming,0,0.45157232704402517,30,13
 ANET,KNN,0,0,canberra,0,0.7631578947368421,50,32
 AMP,KNN,0,0,euclidean,0,0.6371134020618556,40,28
 ALK,KNN,0,0,braycurtis,0,0.6469833119383825,50,32
 ANET,KNN,0,0,hamming,0,0.5666666666666667,60,36
 AMG,KNN,0,0,canberra,0,0.6785260482846251,40,28
 AON,KNN,0,0,braycurtis,0,0.6594663278271918,40,28
 APH,KNN,0,0,hamming,0,0.5235069885641678,40,38
 AMP,KNN,0,0,chebyshev,0,0.6289308176100629,50,35
 ANET,KNN,0,0,chebyshev,0,0.5454545454545454,70,38
 ALK,KNN,0,0,canberra,0,0.695201037613489,60,39
 ANET,KNN,0,0,hamming,0,0.7857142857142857,80,47
 AMG,KNN,0,0,chebyshev,0,0.6020539152759948,50,24
 AON,KNN,0,0,euclidean,0,0.6020539152759948,50,27
 AMP,KNN,0,0,braycurtis,0,0.7057569296375267,60,36
 APH,KNN,0,0,euclidean,0,0.637997432605905,50,37
 ALK,KNN,0,0,braycurtis,0,0.6238532110091743,70,45
 ANET,KNN,0,0,canberra,0,1.0,90,39
 ANET,KNN,0,0,error,0,-1,100,-1
 AMP,KNN,0,0,euclidean,0,0.6225596529284165,70,37
 AMG,KNN,0,0,canberra,0,0.6679636835278858,60,38
 AON,KNN,0,0,braycurtis,0,0.6964980544747081,60,33
 APH,KNN,0,0,chebyshev,0,0.6303501945525292,60,38
 ALK,KNN,0,0,hamming,0,0.5496688741721855,80,44
 AMP,KNN,0,0,euclidean,0,0.6445916114790287,80,53
 AMG,KNN,0,0,chebyshev,0,0.6330275229357798,70,37
 AON,KNN,0,0,hamming,0,0.5596330275229358,70,53
 APH,KNN,0,0,chebyshev,0,0.6304062909567497,70,36
 ALK,KNN,0,0,chebyshev,0,0.5943775100401606,90,61
 AMP,KNN,0,0,chebyshev,0,0.6179775280898876,90,59
 AMG,KNN,0,0,chebyshev,0,0.6357615894039735,80,46
 AON,KNN,0,0,chebyshev,0,0.6437086092715232,80,62
 APH,KNN,0,0,hamming,0,0.5245033112582781,80,44
 ALK,KNN,0,0,chebyshev,0,0.5805142083897158,100,63
 AMP,KNN,0,0,manhattan,0,0.7254004576659039,100,69
 AMG,KNN,0,0,braycurtis,0,0.6639892904953146,90,65
 AON,KNN,0,0,chebyshev,0,0.6572958500669344,90,68
 APH,KNN,0,0,chebyshev,0,0.6827309236947792,90,68
 AMG,KNN,0,0,euclidean,0,0.6332882273342354,100,63
 AON,KNN,0,0,manhattan,0,0.7713125845737483,100,67
 APH,KNN,0,0,canberra,0,0.7320703653585927,100,79
 AVNS,KNN,0,0,hamming,0,0.37254901960784315,10,7
 ASX,KNN,0,0,braycurtis,0,0.5423280423280423,10,6
 AUY,KNN,0,0,canberra,0,0.5,10,4
 ATI,KNN,0,0,hamming,0,0.5068664169787765,10,10
 ASA,KNN,0,0,canberra,0,0.5782983970406905,10,4
 ATO,KNN,0,0,canberra,0,0.8236744759556104,10,10
 AU,KNN,0,0,euclidean,0,0.5117139334155364,10,9
 AVB,KNN,0,0,hamming,0,0.6411837237977805,10,10
 AVNS,KNN,0,0,hamming,0,0.46511627906976744,20,11
 AVNS,KNN,0,0,braycurtis,0,0.8285714285714286,30,17
 AUY,KNN,0,0,canberra,0,0.6313993174061433,20,14
 ASX,KNN,0,0,braycurtis,0,0.56951871657754,20,13
 ATI,KNN,0,0,hamming,0,0.5245901639344263,20,14
 ASA,KNN,0,0,canberra,0,0.6214196762141968,20,11
 ATO,KNN,0,0,braycurtis,0,0.6413449564134496,20,12
 AU,KNN,0,0,hamming,0,0.4931506849315068,20,10
 AVB,KNN,0,0,hamming,0,0.3848069738480697,20,13
 AVNS,KNN,0,0,canberra,0,0.8518518518518519,40,26
 AUY,KNN,0,0,hamming,0,0.5155709342560554,30,24
 ASX,KNN,0,0,hamming,0,0.5162162162162162,30,20
 AVNS,KNN,0,0,chebyshev,0,0.6842105263157895,50,30
 ATI,KNN,0,0,chebyshev,0,0.5847133757961783,30,20
 ATO,KNN,0,0,hamming,0,0.4125786163522013,30,13
 ASA,KNN,0,0,braycurtis,0,0.6213836477987421,30,21
 AVB,KNN,0,0,hamming,0,0.4176100628930818,30,10
 AU,KNN,0,0,canberra,0,0.6327044025157232,30,21
 AVNS,KNN,0,0,chebyshev,0,0.6363636363636364,60,52
 AUY,KNN,0,0,manhattan,0,0.6649122807017543,40,27
 ASX,KNN,0,0,hamming,0,0.5300546448087432,40,26
 ATI,KNN,0,0,euclidean,0,0.5817245817245817,40,22
 ATO,KNN,0,0,canberra,0,0.6848792884371029,40,26
 ASA,KNN,0,0,euclidean,0,0.6213468869123253,40,20
 AVNS,KNN,0,0,euclidean,0,1.0,70,13
 AVB,KNN,0,0,hamming,0,0.554002541296061,40,17
 AU,KNN,0,0,euclidean,0,0.6353240152477764,40,25
 AVNS,KNN,0,0,error,0,-1,80,-1
 AVNS,KNN,0,0,error,0,-1,90,-1
