Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,4
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,4
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,0
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,4
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,0
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,13
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,4
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,0
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,13
AHC,RF,0,0,20,0,40,error
AHC,ZR,0,0,0,0,40,12
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,4
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,0
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,13
AHC,RF,0,0,20,0,40,error
AHC,ZR,0,0,0,0,40,12
AHC,RF,0,0,20,0,50,error
AHC,ZR,0,0,0,0,50,9
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,4
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,0
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,13
AHC,RF,0,0,20,0,40,error
AHC,ZR,0,0,0,0,40,12
AHC,RF,0,0,20,0,50,error
AHC,ZR,0,0,0,0,50,9
AHC,RF,0,0,20,0,60,error
AHC,ZR,0,0,0,0,60,13
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,4
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,0
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,13
AHC,RF,0,0,20,0,40,error
AHC,ZR,0,0,0,0,40,12
AHC,RF,0,0,20,0,50,error
AHC,ZR,0,0,0,0,50,9
AHC,RF,0,0,20,0,60,error
AHC,ZR,0,0,0,0,60,13
AHC,RF,0,0,20,0,70,error
AHC,ZR,0,0,0,0,70,45
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,4
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,0
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,13
AHC,RF,0,0,20,0,40,error
AHC,ZR,0,0,0,0,40,12
AHC,RF,0,0,20,0,50,error
AHC,ZR,0,0,0,0,50,9
AHC,RF,0,0,20,0,60,error
AHC,ZR,0,0,0,0,60,13
AHC,RF,0,0,20,0,70,error
AHC,ZR,0,0,0,0,70,45
AHC,RF,0,0,20,0,80,error
AHC,ZR,0,0,0,0,80,49
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,4
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,0
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,13
AHC,RF,0,0,20,0,40,error
AHC,ZR,0,0,0,0,40,12
AHC,RF,0,0,20,0,50,error
AHC,ZR,0,0,0,0,50,9
AHC,RF,0,0,20,0,60,error
AHC,ZR,0,0,0,0,60,13
AHC,RF,0,0,20,0,70,error
AHC,ZR,0,0,0,0,70,45
AHC,RF,0,0,20,0,80,error
AHC,ZR,0,0,0,0,80,49
AHC,RF,0,0,20,0,90,error
AHC,ZR,0,0,0,0,90,36
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,4
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,0
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,13
AHC,RF,0,0,20,0,40,error
AHC,ZR,0,0,0,0,40,12
AHC,RF,0,0,20,0,50,error
AHC,ZR,0,0,0,0,50,9
AHC,RF,0,0,20,0,60,error
AHC,ZR,0,0,0,0,60,13
AHC,RF,0,0,20,0,70,error
AHC,ZR,0,0,0,0,70,45
AHC,RF,0,0,20,0,80,error
AHC,ZR,0,0,0,0,80,49
AHC,RF,0,0,20,0,90,error
AHC,ZR,0,0,0,0,90,36
AHC,RF,0,0,20,0,100,error
AHC,ZR,0,0,0,0,100,49
AGRO,RF,20,10,20,0.6958333333333333,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,20,10,20,0.6958333333333333,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,40,30,20,0.8275862068965517,20,12
AGRO,ZR,0,0,0,0,20,2
ABR,RF,10,10,20,0.7855917667238422,10,6
ABR,ZR,0,0,0,0,10,6
AHT,RF,10,10,20,0.6921824104234527,10,1
AHT,ZR,0,0,0,0,10,9
AKR,RF,10,10,20,0.7955665024630542,10,9
AKR,ZR,0,0,0,0,10,9
AFL,RF,10,50,20,0.853448275862069,10,8
AFL,ZR,0,0,0,0,10,8
AGRO,RF,20,10,20,0.6958333333333333,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,40,30,20,0.8275862068965517,20,12
AGRO,ZR,0,0,0,0,20,2
AGRO,RF,30,50,20,0.8705357142857143,30,21
AGRO,ZR,0,0,0,0,30,20
AEM,RF,30,20,20,0.7118226600985221,10,10
AEM,ZR,0,0,0,0,10,7
AGN,RF,10,10,20,0.7623152709359606,10,10
AGN,ZR,0,0,0,0,10,10
AGRO,RF,20,10,20,0.6958333333333333,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,40,30,20,0.8275862068965517,20,12
AGRO,ZR,0,0,0,0,20,2
AGRO,RF,30,50,20,0.8705357142857143,30,21
AGRO,ZR,0,0,0,0,30,20
AGRO,RF,10,20,20,0.8611111111111112,40,14
AGRO,ZR,0,0,0,0,40,29
ABR,RF,10,10,20,0.7855917667238422,10,6
ABR,ZR,0,0,0,0,10,6
ABR,RF,10,10,20,0.8104347826086956,20,12
ABR,ZR,0,0,0,0,20,0
AHT,RF,10,10,20,0.6921824104234527,10,1
AHT,ZR,0,0,0,0,10,9
AHT,RF,10,20,20,0.7755775577557755,20,19
AHT,ZR,0,0,0,0,20,1
AGRO,RF,20,10,20,0.6958333333333333,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,40,30,20,0.8275862068965517,20,12
AGRO,ZR,0,0,0,0,20,2
AGRO,RF,30,50,20,0.8705357142857143,30,21
AGRO,ZR,0,0,0,0,30,20
AGRO,RF,10,20,20,0.8611111111111112,40,14
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,10,10,20,0.8798076923076923,50,23
AGRO,ZR,0,0,0,0,50,23
AGRO,RF,20,10,20,0.6958333333333333,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,40,30,20,0.8275862068965517,20,12
AGRO,ZR,0,0,0,0,20,2
AGRO,RF,30,50,20,0.8705357142857143,30,21
AGRO,ZR,0,0,0,0,30,20
AGRO,RF,10,20,20,0.8611111111111112,40,14
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,10,10,20,0.8798076923076923,50,23
AGRO,ZR,0,0,0,0,50,23
AGRO,RF,10,30,20,0.855,60,43
AGRO,ZR,0,0,0,0,60,37
AFL,RF,10,50,20,0.853448275862069,10,8
AFL,ZR,0,0,0,0,10,8
AFL,RF,20,20,20,0.835820895522388,20,16
AFL,ZR,0,0,0,0,20,8
AKR,RF,10,10,20,0.7955665024630542,10,9
AKR,ZR,0,0,0,0,10,9
AKR,RF,10,30,20,0.8072139303482587,20,16
AKR,ZR,0,0,0,0,20,16
ABR,RF,10,10,20,0.7855917667238422,10,6
ABR,ZR,0,0,0,0,10,6
ABR,RF,10,10,20,0.8104347826086956,20,12
ABR,ZR,0,0,0,0,20,0
ABR,RF,20,30,20,0.8306878306878307,30,22
ABR,ZR,0,0,0,0,30,6
AEM,RF,30,20,20,0.7118226600985221,10,10
AEM,ZR,0,0,0,0,10,7
AEM,RF,10,10,20,0.7388059701492538,20,20
AEM,ZR,0,0,0,0,20,20
AGN,RF,10,10,20,0.7623152709359606,10,10
AGN,ZR,0,0,0,0,10,10
AGN,RF,10,40,20,0.7699004975124378,20,8
AGN,ZR,0,0,0,0,20,6
AGRO,RF,20,10,20,0.6958333333333333,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,40,30,20,0.8275862068965517,20,12
AGRO,ZR,0,0,0,0,20,2
AGRO,RF,30,50,20,0.8705357142857143,30,21
AGRO,ZR,0,0,0,0,30,20
AGRO,RF,10,20,20,0.8611111111111112,40,14
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,10,10,20,0.8798076923076923,50,23
AGRO,ZR,0,0,0,0,50,23
AGRO,RF,10,30,20,0.855,60,43
AGRO,ZR,0,0,0,0,60,37
AGRO,RF,20,30,20,0.8697916666666666,70,55
AGRO,ZR,0,0,0,0,70,42
AHT,RF,10,10,20,0.6921824104234527,10,1
AHT,ZR,0,0,0,0,10,9
AHT,RF,10,20,20,0.7755775577557755,20,19
