Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
BSMX,RF,10,20,0,11,0.8,10,-1,10
 RLJ,RF,10,10,0,11,0.7911111111111111,10,-1,3
 GJP,RF,10,10,0,11,0.9444444444444444,10,-1,10
 BSMX,RF,10,20,0,11,0.8,10,-1,10
 BSMX,RF,30,30,0,11,0.8707482993197279,20,-1,10
 PGP,RF,10,10,0,11,0.8171428571428572,10,-1,3
 STN,RF,10,30,0,11,0.8116504854368932,10,-1,9
 ABR,RF,10,10,0,11,0.7714776632302406,10,-1,6
 RLJ,RF,10,10,0,11,0.7911111111111111,10,-1,3
 RLJ,RF,20,40,0,11,0.8110599078341014,20,-1,15
 GJP,RF,10,10,0,11,0.9444444444444444,10,-1,10
 GJP,RF,10,10,0,11,0.9162162162162162,20,-1,20
 BSMX,RF,10,20,0,11,0.8,10,-1,10
 BSMX,RF,30,30,0,11,0.8707482993197279,20,-1,10
 BSMX,RF,10,40,0,11,0.8848920863309353,30,-1,27
 CMO,RF,10,20,0,11,0.8249075215782984,10,-1,2
 CUZ,RF,20,30,0,11,0.7681874229346486,10,-1,3
 RLJ,RF,10,10,0,11,0.7911111111111111,10,-1,3
 RLJ,RF,20,40,0,11,0.8110599078341014,20,-1,15
 RLJ,RF,30,20,0,11,0.8373205741626795,30,-1,13
 BSMX,RF,10,20,0,11,0.8,10,-1,10
 BSMX,RF,30,30,0,11,0.8707482993197279,20,-1,10
 BSMX,RF,10,40,0,11,0.8848920863309353,30,-1,27
 BSMX,RF,20,30,0,11,0.8931297709923665,40,-1,34
 PGP,RF,10,10,0,11,0.8171428571428572,10,-1,3
 PGP,RF,10,10,0,11,0.8413926499032882,20,-1,10
 GJP,RF,10,10,0,11,0.9444444444444444,10,-1,10
 GJP,RF,10,10,0,11,0.9162162162162162,20,-1,20
 GJP,RF,10,10,0,11,0.8950276243093923,30,-1,30
 STN,RF,10,30,0,11,0.8116504854368932,10,-1,9
 STN,RF,10,40,0,11,0.7988165680473372,20,-1,15
 BSMX,RF,10,20,0,11,0.8,10,-1,10
 BSMX,RF,30,30,0,11,0.8707482993197279,20,-1,10
 BSMX,RF,10,40,0,11,0.8848920863309353,30,-1,27
 BSMX,RF,20,30,0,11,0.8931297709923665,40,-1,34
 BSMX,RF,30,30,0,11,0.926829268292683,50,-1,43
 RLJ,RF,10,10,0,11,0.7911111111111111,10,-1,3
 RLJ,RF,20,40,0,11,0.8110599078341014,20,-1,15
 RLJ,RF,30,20,0,11,0.8373205741626795,30,-1,13
 RLJ,RF,10,10,0,11,0.8308457711442786,40,-1,10
 ABR,RF,10,10,0,11,0.7714776632302406,10,-1,6
 ABR,RF,30,10,0,11,0.8101045296167247,20,-1,13
 BSMX,RF,10,20,0,11,0.8,10,-1,10
 BSMX,RF,30,30,0,11,0.8707482993197279,20,-1,10
 BSMX,RF,10,40,0,11,0.8848920863309353,30,-1,27
 BSMX,RF,20,30,0,11,0.8931297709923665,40,-1,34
 BSMX,RF,30,30,0,11,0.926829268292683,50,-1,43
 BSMX,RF,10,20,0,11,0.9217391304347826,60,-1,29
 RLJ,RF,10,10,0,11,0.7911111111111111,10,-1,3
 RLJ,RF,20,40,0,11,0.8110599078341014,20,-1,15
 RLJ,RF,30,20,0,11,0.8373205741626795,30,-1,13
 RLJ,RF,10,10,0,11,0.8308457711442786,40,-1,10
 RLJ,RF,10,30,0,11,0.8290155440414507,50,-1,24
 GJP,RF,10,10,0,11,0.9444444444444444,10,-1,10
 GJP,RF,10,10,0,11,0.9162162162162162,20,-1,20
 GJP,RF,10,10,0,11,0.8950276243093923,30,-1,30
 GJP,RF,10,20,0,11,0.8757062146892656,40,-1,40
 CMO,RF,10,20,0,11,0.8249075215782984,10,-1,2
 CMO,RF,20,40,0,11,0.8443337484433375,20,-1,12
 BSMX,RF,10,20,0,11,0.8,10,-1,10
 BSMX,RF,30,30,0,11,0.8707482993197279,20,-1,10
 BSMX,RF,10,40,0,11,0.8848920863309353,30,-1,27
 BSMX,RF,20,30,0,11,0.8931297709923665,40,-1,34
 BSMX,RF,30,30,0,11,0.926829268292683,50,-1,43
 BSMX,RF,10,20,0,11,0.9217391304347826,60,-1,29
 BSMX,RF,30,30,0,11,0.897196261682243,70,-1,50
 PGP,RF,10,10,0,11,0.8171428571428572,10,-1,3
