Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
AQNB,RF,-1,-1,0,-1,-1,-1,-1,-1
 AQNB,RF,-1,-1,0,-1,-1,-1,-1,-1
 AQNB,RF,-1,-1,0,-1,-1,-1,-1,-1
 AQNB,RF,-1,-1,0,-1,-1,-1,-1,-1
 AQNB,RF,-1,-1,0,-1,-1,-1,-1,-1
 AQNB,RF,-1,-1,0,-1,-1,-1,-1,-1
 AQNB,RF,-1,-1,0,-1,-1,-1,-1,-1
 AQNB,RF,-1,-1,0,-1,-1,-1,-1,-1
 AQNB,RF,-1,-1,0,-1,-1,-1,-1,-1
 AQNB,RF,-1,-1,0,-1,-1,-1,-1,-1
 EDF,RF,10,10,0,10,0.8557213930348259,10,-1,9
 EDF,RF,10,20,0,28,0.8401015228426396,20,-1,9
 EDF,RF,30,40,0,10,0.8549222797927462,30,-1,16
 EDF,RF,20,30,0,10,0.91005291005291,40,-1,31
 EDF,RF,40,20,0,10,0.8756756756756757,50,-1,32
 EDF,RF,10,10,0,25,0.9116022099447514,60,-1,47
 EDF,RF,10,10,0,10,0.9350282485875706,70,-1,54
 EDF,RF,20,10,0,25,0.9421965317919075,80,-1,65
 EDF,RF,10,30,0,25,0.9585798816568047,90,-1,74
 EDF,RF,10,50,0,20,0.9818181818181818,100,-1,59
 GJP,RF,10,10,0,10,0.9196261682242991,10,-1,10
 GJP,RF,10,10,0,10,0.905123339658444,20,-1,20
 GJP,RF,10,10,0,10,0.8940269749518305,30,-1,30
 GJP,RF,10,10,0,10,0.8610567514677103,40,-1,40
 GJP,RF,50,20,0,20,0.9025844930417495,50,-1,47
 GJP,RF,10,10,0,10,0.8787878787878788,60,-1,28
 GJP,RF,10,10,0,10,0.8501026694045175,70,-1,38
 GJP,RF,10,50,0,20,0.8956158663883089,80,-1,49
 GJP,RF,10,40,0,10,0.8895966029723992,90,-1,55
 GJP,RF,40,20,0,10,0.9092872570194385,100,-1,57
 LRN,RF,10,10,0,10,0.7207207207207207,10,-1,8
 LRN,RF,10,50,0,10,0.8025594149908593,20,-1,13
 LRN,RF,10,10,0,10,0.7662337662337663,30,-1,23
 LRN,RF,20,10,0,15,0.8097928436911488,40,-1,38
 LRN,RF,10,10,0,25,0.7877629063097514,50,-1,48
 LRN,RF,20,10,0,28,0.7941747572815534,60,-1,44
 LRN,RF,10,30,0,25,0.8362919132149902,70,-1,62
 LRN,RF,10,10,0,28,0.7895791583166333,80,-1,61
 LRN,RF,10,10,0,15,0.7861507128309573,90,-1,59
 LRN,RF,20,40,0,20,0.8322981366459627,100,-1,83
 MCI,RF,10,10,0,10,0.8525773195876288,10,-1,10
 MCI,RF,30,50,0,15,0.8471933471933472,20,-1,15
 MCI,RF,10,50,0,25,0.8291404612159329,30,-1,12
 MCI,RF,20,20,0,10,0.8488372093023255,40,-1,28
 MCI,RF,10,50,0,28,0.82409381663113,50,-1,15
 MCI,RF,10,20,0,28,0.8591397849462366,60,-1,33
 MCI,RF,10,50,0,25,0.8579175704989154,70,-1,24
 MCI,RF,10,40,0,10,0.9070021881838074,80,-1,33
 MCI,RF,20,50,0,10,0.9028697571743929,90,-1,53
 MCI,RF,30,20,0,10,0.9075723830734966,100,-1,71
 PUK,RF,50,20,0,20,0.7440860215053764,10,-1,10
 PUK,RF,10,50,0,25,0.7516268980477223,20,-1,15
 PUK,RF,30,30,0,15,0.8282275711159738,30,-1,27
 PUK,RF,10,10,0,10,0.7935982339955849,40,-1,33
 PUK,RF,40,50,0,25,0.8173719376391982,50,-1,35
 PUK,RF,30,20,0,10,0.8426966292134831,60,-1,51
 PUK,RF,30,50,0,25,0.8469387755102041,70,-1,38
 PUK,RF,40,10,0,20,0.7860411899313501,80,-1,66
 PUK,RF,50,20,0,10,0.8521939953810623,90,-1,82
 PUK,RF,20,20,0,28,0.8333333333333334,100,-1,75
 TSM,RF,10,10,0,20,0.6835051546391753,10,-1,2
 TSM,RF,30,30,0,25,0.7796257796257796,20,-1,19
 TSM,RF,10,50,0,10,0.8123689727463312,30,-1,26
