Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,0.5,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,1,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,5,8
 BSMX,SVM,0,0,Linear,11,0.632258064516129,10,10,7
 BSMX,SVM,0,0,Linear,11,0.6580645161290323,10,100,5
 RLJ,SVM,0,0,Linear,11,0.68,10,0.5,7
 RLJ,SVM,0,0,Linear,11,0.6888888888888889,10,1,9
 RLJ,SVM,0,0,Linear,11,0.6711111111111111,10,5,9
 RLJ,SVM,0,0,Linear,11,0.6844444444444444,10,10,9
 RLJ,SVM,0,0,Linear,11,0.6977777777777778,10,100,7
 GJP,SVM,0,0,Linear,11,0.8994708994708994,10,0.5,9
 GJP,SVM,0,0,Linear,11,0.8994708994708994,10,1,9
 GJP,SVM,0,0,Linear,11,0.8994708994708994,10,5,10
 GJP,SVM,0,0,Linear,11,0.8994708994708994,10,10,10
 GJP,SVM,0,0,Linear,11,0.8994708994708994,10,100,10
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,0.5,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,1,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,5,8
 BSMX,SVM,0,0,Linear,11,0.632258064516129,10,10,7
 BSMX,SVM,0,0,Linear,11,0.6580645161290323,10,100,5
 BSMX,SVM,0,0,Linear,11,0.5918367346938775,20,0.5,2
 BSMX,SVM,0,0,Linear,11,0.6122448979591837,20,1,1
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,5,3
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,10,4
 BSMX,SVM,0,0,Linear,11,0.6666666666666666,20,100,5
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,0.5,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,1,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,5,8
 BSMX,SVM,0,0,Linear,11,0.632258064516129,10,10,7
 BSMX,SVM,0,0,Linear,11,0.6580645161290323,10,100,5
 BSMX,SVM,0,0,Linear,11,0.5918367346938775,20,0.5,2
 BSMX,SVM,0,0,Linear,11,0.6122448979591837,20,1,1
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,5,3
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,10,4
 BSMX,SVM,0,0,Linear,11,0.6666666666666666,20,100,5
 BSMX,SVM,0,0,Linear,11,0.7122302158273381,30,0.5,11
 BSMX,SVM,0,0,Linear,11,0.697841726618705,30,1,10
 BSMX,SVM,0,0,Linear,11,0.7410071942446043,30,5,4
 BSMX,SVM,0,0,Linear,11,0.7482014388489209,30,10,6
 BSMX,SVM,0,0,Linear,11,0.7697841726618705,30,100,4
 RLJ,SVM,0,0,Linear,11,0.68,10,0.5,7
 RLJ,SVM,0,0,Linear,11,0.6888888888888889,10,1,9
 RLJ,SVM,0,0,Linear,11,0.6711111111111111,10,5,9
 RLJ,SVM,0,0,Linear,11,0.6844444444444444,10,10,9
 RLJ,SVM,0,0,Linear,11,0.6977777777777778,10,100,7
 RLJ,SVM,0,0,Linear,11,0.6175115207373272,20,0.5,1
 RLJ,SVM,0,0,Linear,11,0.6036866359447005,20,1,0
 RLJ,SVM,0,0,Linear,11,0.6267281105990783,20,5,4
 RLJ,SVM,0,0,Linear,11,0.6267281105990783,20,10,4
 RLJ,SVM,0,0,Linear,11,0.6405529953917051,20,100,5
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,0.5,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,1,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,5,8
 BSMX,SVM,0,0,Linear,11,0.632258064516129,10,10,7
 BSMX,SVM,0,0,Linear,11,0.6580645161290323,10,100,5
 BSMX,SVM,0,0,Linear,11,0.5918367346938775,20,0.5,2
 BSMX,SVM,0,0,Linear,11,0.6122448979591837,20,1,1
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,5,3
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,10,4
 BSMX,SVM,0,0,Linear,11,0.6666666666666666,20,100,5
 BSMX,SVM,0,0,Linear,11,0.7122302158273381,30,0.5,11
 BSMX,SVM,0,0,Linear,11,0.697841726618705,30,1,10
 BSMX,SVM,0,0,Linear,11,0.7410071942446043,30,5,4
 BSMX,SVM,0,0,Linear,11,0.7482014388489209,30,10,6
 BSMX,SVM,0,0,Linear,11,0.7697841726618705,30,100,4
 BSMX,SVM,0,0,Linear,11,0.8091603053435115,40,0.5,25
 BSMX,SVM,0,0,Linear,11,0.8244274809160306,40,1,26
 BSMX,SVM,0,0,Linear,11,0.816793893129771,40,5,29
 BSMX,SVM,0,0,Linear,11,0.8244274809160306,40,10,28
 BSMX,SVM,0,0,Linear,11,0.816793893129771,40,100,29
 GJP,SVM,0,0,Linear,11,0.8994708994708994,10,0.5,9
 GJP,SVM,0,0,Linear,11,0.8994708994708994,10,1,9
 GJP,SVM,0,0,Linear,11,0.8994708994708994,10,5,10
 GJP,SVM,0,0,Linear,11,0.8994708994708994,10,10,10
 GJP,SVM,0,0,Linear,11,0.8994708994708994,10,100,10
 GJP,SVM,0,0,Linear,11,0.8243243243243243,20,0.5,20
 GJP,SVM,0,0,Linear,11,0.8324324324324325,20,1,20
 GJP,SVM,0,0,Linear,11,0.8405405405405405,20,5,18
 GJP,SVM,0,0,Linear,11,0.8378378378378378,20,10,12
 GJP,SVM,0,0,Linear,11,0.8432432432432433,20,100,12
 STN,SVM,0,0,Linear,11,0.6854368932038835,10,0.5,3
 STN,SVM,0,0,Linear,11,0.6873786407766991,10,1,5
 STN,SVM,0,0,Linear,11,0.6893203883495146,10,5,7
 STN,SVM,0,0,Linear,11,0.6893203883495146,10,10,7
 STN,SVM,0,0,Linear,11,0.6990291262135923,10,100,6
 PGP,SVM,0,0,Linear,11,0.7104761904761905,10,0.5,4
 PGP,SVM,0,0,Linear,11,0.7085714285714285,10,1,9
 PGP,SVM,0,0,Linear,11,0.7047619047619048,10,5,7
 PGP,SVM,0,0,Linear,11,0.7028571428571428,10,10,6
 PGP,SVM,0,0,Linear,11,0.7142857142857143,10,100,6
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,0.5,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,1,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,5,8
 BSMX,SVM,0,0,Linear,11,0.632258064516129,10,10,7
 BSMX,SVM,0,0,Linear,11,0.6580645161290323,10,100,5
 BSMX,SVM,0,0,Linear,11,0.5918367346938775,20,0.5,2
 BSMX,SVM,0,0,Linear,11,0.6122448979591837,20,1,1
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,5,3
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,10,4
 BSMX,SVM,0,0,Linear,11,0.6666666666666666,20,100,5
 BSMX,SVM,0,0,Linear,11,0.7122302158273381,30,0.5,11
 BSMX,SVM,0,0,Linear,11,0.697841726618705,30,1,10
 BSMX,SVM,0,0,Linear,11,0.7410071942446043,30,5,4
 BSMX,SVM,0,0,Linear,11,0.7482014388489209,30,10,6
 BSMX,SVM,0,0,Linear,11,0.7697841726618705,30,100,4
 BSMX,SVM,0,0,Linear,11,0.8091603053435115,40,0.5,25
 BSMX,SVM,0,0,Linear,11,0.8244274809160306,40,1,26
 BSMX,SVM,0,0,Linear,11,0.816793893129771,40,5,29
 BSMX,SVM,0,0,Linear,11,0.8244274809160306,40,10,28
 BSMX,SVM,0,0,Linear,11,0.816793893129771,40,100,29
 BSMX,SVM,0,0,Linear,11,0.8048780487804879,50,0.5,29
 BSMX,SVM,0,0,Linear,11,0.7967479674796748,50,1,29
 BSMX,SVM,0,0,Linear,11,0.8130081300813008,50,5,19
 BSMX,SVM,0,0,Linear,11,0.8130081300813008,50,10,25
 BSMX,SVM,0,0,Linear,11,0.8211382113821138,50,100,24
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,0.5,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,1,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,5,8
 BSMX,SVM,0,0,Linear,11,0.632258064516129,10,10,7
 BSMX,SVM,0,0,Linear,11,0.6580645161290323,10,100,5
 BSMX,SVM,0,0,Linear,11,0.5918367346938775,20,0.5,2
 BSMX,SVM,0,0,Linear,11,0.6122448979591837,20,1,1
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,5,3
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,10,4
 BSMX,SVM,0,0,Linear,11,0.6666666666666666,20,100,5
 BSMX,SVM,0,0,Linear,11,0.7122302158273381,30,0.5,11
 BSMX,SVM,0,0,Linear,11,0.697841726618705,30,1,10
 BSMX,SVM,0,0,Linear,11,0.7410071942446043,30,5,4
 BSMX,SVM,0,0,Linear,11,0.7482014388489209,30,10,6
 BSMX,SVM,0,0,Linear,11,0.7697841726618705,30,100,4
 BSMX,SVM,0,0,Linear,11,0.8091603053435115,40,0.5,25
 BSMX,SVM,0,0,Linear,11,0.8244274809160306,40,1,26
 BSMX,SVM,0,0,Linear,11,0.816793893129771,40,5,29
 BSMX,SVM,0,0,Linear,11,0.8244274809160306,40,10,28
 BSMX,SVM,0,0,Linear,11,0.816793893129771,40,100,29
 BSMX,SVM,0,0,Linear,11,0.8048780487804879,50,0.5,29
 BSMX,SVM,0,0,Linear,11,0.7967479674796748,50,1,29
 BSMX,SVM,0,0,Linear,11,0.8130081300813008,50,5,19
 BSMX,SVM,0,0,Linear,11,0.8130081300813008,50,10,25
 BSMX,SVM,0,0,Linear,11,0.8211382113821138,50,100,24
 BSMX,SVM,0,0,Linear,11,0.7478260869565218,60,0.5,41
 BSMX,SVM,0,0,Linear,11,0.7565217391304347,60,1,39
 BSMX,SVM,0,0,Linear,11,0.7478260869565218,60,5,41
 BSMX,SVM,0,0,Linear,11,0.7652173913043478,60,10,39
 BSMX,SVM,0,0,Linear,11,0.7739130434782608,60,100,38
 RLJ,SVM,0,0,Linear,11,0.68,10,0.5,7
 RLJ,SVM,0,0,Linear,11,0.6888888888888889,10,1,9
 RLJ,SVM,0,0,Linear,11,0.6711111111111111,10,5,9
 RLJ,SVM,0,0,Linear,11,0.6844444444444444,10,10,9
 RLJ,SVM,0,0,Linear,11,0.6977777777777778,10,100,7
 RLJ,SVM,0,0,Linear,11,0.6175115207373272,20,0.5,1
 RLJ,SVM,0,0,Linear,11,0.6036866359447005,20,1,0
 RLJ,SVM,0,0,Linear,11,0.6267281105990783,20,5,4
 RLJ,SVM,0,0,Linear,11,0.6267281105990783,20,10,4
 RLJ,SVM,0,0,Linear,11,0.6405529953917051,20,100,5
 RLJ,SVM,0,0,Linear,11,0.5789473684210527,30,0.5,11
 RLJ,SVM,0,0,Linear,11,0.5980861244019139,30,1,10
 RLJ,SVM,0,0,Linear,11,0.6172248803827751,30,5,13
 RLJ,SVM,0,0,Linear,11,0.645933014354067,30,10,12
 RLJ,SVM,0,0,Linear,11,0.6507177033492823,30,100,9
 ABR,SVM,0,0,Linear,11,0.6202749140893471,10,0.5,5
 ABR,SVM,0,0,Linear,11,0.6357388316151202,10,1,6
 ABR,SVM,0,0,Linear,11,0.6563573883161512,10,5,5
 ABR,SVM,0,0,Linear,11,0.6580756013745704,10,10,4
 ABR,SVM,0,0,Linear,11,0.6701030927835051,10,100,4
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,0.5,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,1,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,5,8
 BSMX,SVM,0,0,Linear,11,0.632258064516129,10,10,7
 BSMX,SVM,0,0,Linear,11,0.6580645161290323,10,100,5
 BSMX,SVM,0,0,Linear,11,0.5918367346938775,20,0.5,2
 BSMX,SVM,0,0,Linear,11,0.6122448979591837,20,1,1
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,5,3
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,10,4
 BSMX,SVM,0,0,Linear,11,0.6666666666666666,20,100,5
 BSMX,SVM,0,0,Linear,11,0.7122302158273381,30,0.5,11
 BSMX,SVM,0,0,Linear,11,0.697841726618705,30,1,10
 BSMX,SVM,0,0,Linear,11,0.7410071942446043,30,5,4
 BSMX,SVM,0,0,Linear,11,0.7482014388489209,30,10,6
 BSMX,SVM,0,0,Linear,11,0.7697841726618705,30,100,4
 BSMX,SVM,0,0,Linear,11,0.8091603053435115,40,0.5,25
 BSMX,SVM,0,0,Linear,11,0.8244274809160306,40,1,26
 BSMX,SVM,0,0,Linear,11,0.816793893129771,40,5,29
 BSMX,SVM,0,0,Linear,11,0.8244274809160306,40,10,28
 BSMX,SVM,0,0,Linear,11,0.816793893129771,40,100,29
 BSMX,SVM,0,0,Linear,11,0.8048780487804879,50,0.5,29
 BSMX,SVM,0,0,Linear,11,0.7967479674796748,50,1,29
 BSMX,SVM,0,0,Linear,11,0.8130081300813008,50,5,19
 BSMX,SVM,0,0,Linear,11,0.8130081300813008,50,10,25
 BSMX,SVM,0,0,Linear,11,0.8211382113821138,50,100,24
 BSMX,SVM,0,0,Linear,11,0.7478260869565218,60,0.5,41
 BSMX,SVM,0,0,Linear,11,0.7565217391304347,60,1,39
 BSMX,SVM,0,0,Linear,11,0.7478260869565218,60,5,41
 BSMX,SVM,0,0,Linear,11,0.7652173913043478,60,10,39
 BSMX,SVM,0,0,Linear,11,0.7739130434782608,60,100,38
 BSMX,SVM,0,0,Linear,11,0.719626168224299,70,0.5,33
 BSMX,SVM,0,0,Linear,11,0.7850467289719626,70,1,42
 BSMX,SVM,0,0,Linear,11,0.8598130841121495,70,5,42
 BSMX,SVM,0,0,Linear,11,0.8504672897196262,70,10,42
 BSMX,SVM,0,0,Linear,11,0.8504672897196262,70,100,46
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,0.5,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,1,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,5,8
 BSMX,SVM,0,0,Linear,11,0.632258064516129,10,10,7
 BSMX,SVM,0,0,Linear,11,0.6580645161290323,10,100,5
 BSMX,SVM,0,0,Linear,11,0.5918367346938775,20,0.5,2
 BSMX,SVM,0,0,Linear,11,0.6122448979591837,20,1,1
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,5,3
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,10,4
 BSMX,SVM,0,0,Linear,11,0.6666666666666666,20,100,5
 BSMX,SVM,0,0,Linear,11,0.7122302158273381,30,0.5,11
 BSMX,SVM,0,0,Linear,11,0.697841726618705,30,1,10
 BSMX,SVM,0,0,Linear,11,0.7410071942446043,30,5,4
 BSMX,SVM,0,0,Linear,11,0.7482014388489209,30,10,6
 BSMX,SVM,0,0,Linear,11,0.7697841726618705,30,100,4
 BSMX,SVM,0,0,Linear,11,0.8091603053435115,40,0.5,25
 BSMX,SVM,0,0,Linear,11,0.8244274809160306,40,1,26
 BSMX,SVM,0,0,Linear,11,0.816793893129771,40,5,29
 BSMX,SVM,0,0,Linear,11,0.8244274809160306,40,10,28
 BSMX,SVM,0,0,Linear,11,0.816793893129771,40,100,29
 BSMX,SVM,0,0,Linear,11,0.8048780487804879,50,0.5,29
 BSMX,SVM,0,0,Linear,11,0.7967479674796748,50,1,29
 BSMX,SVM,0,0,Linear,11,0.8130081300813008,50,5,19
 BSMX,SVM,0,0,Linear,11,0.8130081300813008,50,10,25
 BSMX,SVM,0,0,Linear,11,0.8211382113821138,50,100,24
 BSMX,SVM,0,0,Linear,11,0.7478260869565218,60,0.5,41
 BSMX,SVM,0,0,Linear,11,0.7565217391304347,60,1,39
 BSMX,SVM,0,0,Linear,11,0.7478260869565218,60,5,41
 BSMX,SVM,0,0,Linear,11,0.7652173913043478,60,10,39
 BSMX,SVM,0,0,Linear,11,0.7739130434782608,60,100,38
 BSMX,SVM,0,0,Linear,11,0.719626168224299,70,0.5,33
 BSMX,SVM,0,0,Linear,11,0.7850467289719626,70,1,42
 BSMX,SVM,0,0,Linear,11,0.8598130841121495,70,5,42
 BSMX,SVM,0,0,Linear,11,0.8504672897196262,70,10,42
 BSMX,SVM,0,0,Linear,11,0.8504672897196262,70,100,46
 BSMX,SVM,0,0,Linear,11,0.8585858585858586,80,0.5,60
 BSMX,SVM,0,0,Linear,11,0.8585858585858586,80,1,64
 BSMX,SVM,0,0,Linear,11,0.8888888888888888,80,5,65
 BSMX,SVM,0,0,Linear,11,0.8787878787878788,80,10,65
 BSMX,SVM,0,0,Linear,11,0.8787878787878788,80,100,64
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,0.5,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,1,9
 BSMX,SVM,0,0,Linear,11,0.5935483870967742,10,5,8
 BSMX,SVM,0,0,Linear,11,0.632258064516129,10,10,7
 BSMX,SVM,0,0,Linear,11,0.6580645161290323,10,100,5
 BSMX,SVM,0,0,Linear,11,0.5918367346938775,20,0.5,2
 BSMX,SVM,0,0,Linear,11,0.6122448979591837,20,1,1
 BSMX,SVM,0,0,Linear,11,0.673469387755102,20,5,3
