Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
AQNB,SVM,0,0,Linear,-1,-1,10,-1,-1
 AQNB,SVM,0,0,Linear,-1,-1,20,-1,-1
 AQNB,SVM,0,0,Linear,-1,-1,30,-1,-1
 AQNB,SVM,0,0,Linear,-1,-1,40,-1,-1
 AQNB,SVM,0,0,Linear,-1,-1,50,-1,-1
 AQNB,SVM,0,0,Linear,-1,-1,60,-1,-1
 AQNB,SVM,0,0,Linear,-1,-1,70,-1,-1
 AQNB,SVM,0,0,Linear,-1,-1,80,-1,-1
 AQNB,SVM,0,0,Linear,-1,-1,90,-1,-1
 AQNB,SVM,0,0,Linear,-1,-1,100,-1,-1
 EDF,SVM,0,0,Linear,10,0.7611940298507462,10,0.5,7
 EDF,SVM,0,0,Linear,20,0.583756345177665,20,0.5,7
 EDF,SVM,0,0,Linear,10,0.6398963730569949,30,1,14
 EDF,SVM,0,0,Linear,10,0.7195767195767195,40,1,11
 EDF,SVM,0,0,Linear,10,0.7162162162162162,50,10,28
 EDF,SVM,0,0,Linear,10,0.6353591160220995,60,0.5,37
 EDF,SVM,0,0,Linear,20,0.6299435028248588,70,1,48
 EDF,SVM,0,0,Linear,10,0.5751445086705202,80,100,36
 EDF,SVM,0,0,Linear,10,0.6893491124260355,90,100,72
 EDF,SVM,0,0,Linear,10,0.6666666666666666,100,0.5,55
 LRN,SVM,0,0,Linear,20,0.527927927927928,10,0.5,8
 LRN,SVM,0,0,Linear,10,0.6124314442413162,20,0.5,8
 LRN,SVM,0,0,Linear,10,0.5955473098330241,30,0.5,20
 LRN,SVM,0,0,Linear,20,0.64030131826742,40,0.5,8
 LRN,SVM,0,0,Linear,20,0.5296367112810707,50,100,25
 LRN,SVM,0,0,Linear,20,0.5766990291262136,60,0.5,26
 LRN,SVM,0,0,Linear,10,0.591715976331361,70,10,50
 LRN,SVM,0,0,Linear,20,0.5050100200400801,80,100,49
 LRN,SVM,0,0,Linear,10,0.5661914460285132,90,5,72
 LRN,SVM,0,0,Linear,10,0.5755693581780539,100,0.5,69
 GJP,SVM,0,0,Linear,20,0.8448598130841122,10,100,7
 GJP,SVM,0,0,Linear,15,0.7628083491461101,20,0.5,15
 GJP,SVM,0,0,Linear,10,0.7032755298651252,30,100,24
 GJP,SVM,0,0,Linear,10,0.6692759295499021,40,100,33
 GJP,SVM,0,0,Linear,15,0.6302186878727635,50,100,26
 GJP,SVM,0,0,Linear,20,0.6363636363636364,60,0.5,38
 GJP,SVM,0,0,Linear,20,0.5811088295687885,70,1,33
 GJP,SVM,0,0,Linear,15,0.5469728601252609,80,1,29
 GJP,SVM,0,0,Linear,10,0.5859872611464968,90,100,14
 GJP,SVM,0,0,Linear,10,0.5809935205183585,100,1,30
 TSM,SVM,0,0,Linear,15,0.5927835051546392,10,10,6
 TSM,SVM,0,0,Linear,10,0.5135135135135135,20,1,14
 TSM,SVM,0,0,Linear,20,0.6257861635220126,30,5,19
 TSM,SVM,0,0,Linear,10,0.6797040169133193,40,100,17
 TSM,SVM,0,0,Linear,15,0.5852878464818764,50,0.5,29
 TSM,SVM,0,0,Linear,10,0.5870967741935483,60,0.5,26
 TSM,SVM,0,0,Linear,10,0.5726681127982647,70,1,30
 TSM,SVM,0,0,Linear,10,0.5733041575492341,80,0.5,51
 TSM,SVM,0,0,Linear,10,0.5684326710816777,90,0.5,70
 TSM,SVM,0,0,Linear,10,0.5924276169265034,100,10,51
 JCAP,SVM,0,0,Linear,15,0.6702127659574468,10,0.5,7
 JCAP,SVM,0,0,Linear,10,0.5777777777777777,20,0.5,3
 JCAP,SVM,0,0,Linear,10,0.7034883720930233,30,100,17
 JCAP,SVM,0,0,Linear,10,0.7560975609756098,40,0.5,1
 JCAP,SVM,0,0,Linear,20,0.7243589743589743,50,0.5,15
 JCAP,SVM,0,0,Linear,15,0.7094594594594594,60,0.5,49
 JCAP,SVM,0,0,Linear,10,0.6857142857142857,70,0.5,41
 JCAP,SVM,0,0,Linear,15,0.6742424242424242,80,1,63
 JCAP,SVM,0,0,Linear,10,0.8225806451612904,90,1,53
 JCAP,SVM,0,0,Linear,10,0.75,100,5,70
 PUK,SVM,0,0,Linear,10,0.5935483870967742,10,1,10
 PUK,SVM,0,0,Linear,15,0.5780911062906724,20,0.5,13
 PUK,SVM,0,0,Linear,20,0.6389496717724289,30,100,19
 PUK,SVM,0,0,Linear,10,0.6655629139072847,40,100,24
 PUK,SVM,0,0,Linear,20,0.5913140311804009,50,5,46
 PUK,SVM,0,0,Linear,10,0.5752808988764045,60,100,33
 PUK,SVM,0,0,Linear,15,0.5895691609977324,70,5,41
 PUK,SVM,0,0,Linear,20,0.5949656750572082,80,5,56
 PUK,SVM,0,0,Linear,15,0.6016166281755196,90,0.5,75
 PUK,SVM,0,0,Linear,10,0.634032634032634,100,0.5,22
 BMI,SVM,0,0,Linear,10,0.5701030927835051,10,5,2
 BMI,SVM,0,0,Linear,10,0.5436590436590436,20,100,12
 BMI,SVM,0,0,Linear,10,0.6142557651991615,30,100,7
 BMI,SVM,0,0,Linear,10,0.6744186046511628,40,100,31
 BMI,SVM,0,0,Linear,10,0.603411513859275,50,1,27
 BMI,SVM,0,0,Linear,15,0.6236559139784946,60,5,21
 BMI,SVM,0,0,Linear,10,0.5856832971800434,70,0.5,57
 BMI,SVM,0,0,Linear,10,0.6225382932166302,80,0.5,25
 BMI,SVM,0,0,Linear,10,0.6026490066225165,90,10,69
 BMI,SVM,0,0,Linear,20,0.6258351893095768,100,0.5,79
 MCI,SVM,0,0,Linear,15,0.8175257731958763,10,0.5,3
 MCI,SVM,0,0,Linear,15,0.604989604989605,20,0.5,6
 MCI,SVM,0,0,Linear,10,0.5670859538784067,30,0.5,4
 MCI,SVM,0,0,Linear,10,0.653276955602537,40,0.5,19
 MCI,SVM,0,0,Linear,10,0.6471215351812367,50,5,17
 MCI,SVM,0,0,Linear,10,0.5903225806451613,60,10,17
 MCI,SVM,0,0,Linear,10,0.6203904555314533,70,5,21
 MCI,SVM,0,0,Linear,15,0.6225382932166302,80,1,4
 MCI,SVM,0,0,Linear,10,0.6147902869757175,90,0.5,26
 MCI,SVM,0,0,Linear,10,0.6692650334075724,100,0.5,54
 JCO,SVM,0,0,Linear,15,0.8258426966292135,10,0.5,8
 JCO,SVM,0,0,Linear,10,0.7764705882352941,20,0.5,6
 JCO,SVM,0,0,Linear,15,0.8024691358024691,30,5,16
 JCO,SVM,0,0,Linear,10,0.8246753246753247,40,5,6
 JCO,SVM,0,0,Linear,10,0.8767123287671232,50,100,31
 JCO,SVM,0,0,Linear,10,0.7391304347826086,60,10,15
 JCO,SVM,0,0,Linear,20,0.7692307692307693,70,0.5,1
 JCO,SVM,0,0,Linear,10,0.6147540983606558,80,5,24
 JCO,SVM,0,0,Linear,10,0.6052631578947368,90,100,12
 JCO,SVM,0,0,Linear,15,0.5471698113207547,100,100,52
 RRTS,SVM,0,0,Linear,10,0.5599078341013825,10,100,8
 RRTS,SVM,0,0,Linear,10,0.5563380281690141,20,100,9
 RRTS,SVM,0,0,Linear,10,0.5717703349282297,30,10,17
 RRTS,SVM,0,0,Linear,10,0.6048780487804878,40,0.5,20
 RRTS,SVM,0,0,Linear,10,0.5323383084577115,50,5,26
 RRTS,SVM,0,0,Linear,10,0.5710659898477157,60,0.5,39
 RRTS,SVM,0,0,Linear,15,0.5051813471502591,70,0.5,25
 RRTS,SVM,0,0,Linear,15,0.6137566137566137,80,1,51
 RRTS,SVM,0,0,Linear,10,0.6216216216216216,90,100,59
 RRTS,SVM,0,0,Linear,10,0.6243093922651933,100,5,56
 HUN,SVM,0,0,Linear,20,0.6332378223495702,10,100,7
 HUN,SVM,0,0,Linear,20,0.6043478260869565,20,1,19
 HUN,SVM,0,0,Linear,10,0.6612903225806451,30,100,12
 HUN,SVM,0,0,Linear,10,0.6810089020771514,40,5,28
 HUN,SVM,0,0,Linear,10,0.5840840840840841,50,100,10
 HUN,SVM,0,0,Linear,15,0.560790273556231,60,0.5,30
 HUN,SVM,0,0,Linear,15,0.5753846153846154,70,100,46
 HUN,SVM,0,0,Linear,20,0.6137071651090342,80,10,53
 HUN,SVM,0,0,Linear,15,0.5757097791798107,90,5,47
 HUN,SVM,0,0,Linear,20,0.6325878594249201,100,5,56
 PGP,SVM,0,0,Linear,10,0.6881405563689604,10,0.5,8
 PGP,SVM,0,0,Linear,10,0.6192592592592593,20,5,11
 PGP,SVM,0,0,Linear,10,0.6416791604197901,30,0.5,8
 PGP,SVM,0,0,Linear,10,0.6555386949924128,40,0.5,36
 PGP,SVM,0,0,Linear,10,0.6221198156682027,50,0.5,18
 PGP,SVM,0,0,Linear,10,0.609642301710731,60,100,35
 PGP,SVM,0,0,Linear,10,0.5889763779527559,70,100,42
 PGP,SVM,0,0,Linear,10,0.6092503987240829,80,100,35
 PGP,SVM,0,0,Linear,10,0.6042003231017771,90,100,66
 PGP,SVM,0,0,Linear,15,0.6366612111292962,100,100,64
 PKX,SVM,0,0,Linear,20,0.5237113402061856,10,0.5,9
 PKX,SVM,0,0,Linear,15,0.5966735966735967,20,10,16
 PKX,SVM,0,0,Linear,10,0.6509433962264151,30,0.5,11
 PKX,SVM,0,0,Linear,10,0.6744186046511628,40,0.5,16
 PKX,SVM,0,0,Linear,10,0.5980810234541578,50,5,32
 PKX,SVM,0,0,Linear,10,0.5516129032258065,60,100,29
 PKX,SVM,0,0,Linear,10,0.5563991323210412,70,100,56
 PKX,SVM,0,0,Linear,10,0.5667396061269147,80,1,64
 PKX,SVM,0,0,Linear,10,0.5717439293598234,90,0.5,60
 PKX,SVM,0,0,Linear,10,0.5657015590200446,100,1,75
 EV,SVM,0,0,Linear,10,0.6278350515463917,10,1,9
 EV,SVM,0,0,Linear,10,0.5353430353430353,20,0.5,12
 EV,SVM,0,0,Linear,10,0.5880503144654088,30,0.5,14
 EV,SVM,0,0,Linear,10,0.6913319238900634,40,5,24
 EV,SVM,0,0,Linear,10,0.6439232409381663,50,100,17
 EV,SVM,0,0,Linear,10,0.5763440860215053,60,100,27
 EV,SVM,0,0,Linear,10,0.5661605206073753,70,100,13
 EV,SVM,0,0,Linear,10,0.5754923413566739,80,5,14
 EV,SVM,0,0,Linear,10,0.5673289183222958,90,100,17
 EV,SVM,0,0,Linear,15,0.566815144766147,100,0.5,77
 ENIA,SVM,0,0,Linear,10,0.5835051546391753,10,0.5,3
 ENIA,SVM,0,0,Linear,10,0.603950103950104,20,100,15
 ENIA,SVM,0,0,Linear,10,0.6656184486373166,30,10,9
 ENIA,SVM,0,0,Linear,10,0.7389006342494715,40,1,25
 ENIA,SVM,0,0,Linear,10,0.6535181236673774,50,5,50
 ENIA,SVM,0,0,Linear,10,0.5774193548387097,60,0.5,36
 ENIA,SVM,0,0,Linear,10,0.5954446854663774,70,100,49
 ENIA,SVM,0,0,Linear,10,0.5864332603938731,80,100,68
 ENIA,SVM,0,0,Linear,20,0.565121412803532,90,0.5,51
 ENIA,SVM,0,0,Linear,10,0.544543429844098,100,100,60
 LPL,SVM,0,0,Linear,10,0.5633608815426997,10,100,6
 LPL,SVM,0,0,Linear,10,0.658774373259053,20,1,18
 LPL,SVM,0,0,Linear,15,0.6830985915492958,30,100,14
 LPL,SVM,0,0,Linear,10,0.7094017094017094,40,0.5,13
 LPL,SVM,0,0,Linear,10,0.6268011527377522,50,0.5,15
 LPL,SVM,0,0,Linear,10,0.5874635568513119,60,0.5,21
 LPL,SVM,0,0,Linear,15,0.5855457227138643,70,5,23
