Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
LAZ,SVM,-1,-1,poly,19,0.5743740795287187,10,100,4,-1,6
 LAZ,SVM,-1,-1,rbf,10,0.639344262295082,20,100,1,-1,6
 LAZ,SVM,-1,-1,poly,16,0.6425339366515838,30,100,2,-1,19
 LAZ,SVM,-1,-1,poly,16,0.6763358778625954,40,100,4,-1,20
 LAZ,SVM,-1,-1,poly,16,0.6352395672333848,50,100,4,-1,22
 LAZ,SVM,-1,-1,rbf,10,0.6275430359937402,60,100,1,-1,22
 LAZ,SVM,-1,-1,rbf,13,0.6656101426307448,70,100,1,-1,13
 LAZ,SVM,-1,-1,poly,10,0.6195826645264848,80,100,4,-1,35
 LAZ,SVM,-1,-1,poly,10,0.6650406504065041,90,100,4,-1,41
 LAZ,SVM,-1,-1,rbf,15,0.6177924217462932,100,10,1,-1,55
 IX,SVM,-1,-1,poly,20,0.6027397260273972,10,100,2,-1,2
 IX,SVM,-1,-1,poly,21,0.6131774707757705,20,100,4,-1,8
 IX,SVM,-1,-1,rbf,17,0.6666666666666666,30,100,1,-1,1
 IX,SVM,-1,-1,poly,15,0.6918918918918919,40,100,4,-1,31
 IX,SVM,-1,-1,poly,11,0.64340239912759,50,100,4,-1,32
 IX,SVM,-1,-1,poly,16,0.6314631463146315,60,100,4,-1,17
 IX,SVM,-1,-1,poly,12,0.6182019977802442,70,100,4,-1,35
 IX,SVM,-1,-1,poly,15,0.6259798432250839,80,100,4,-1,59
 IX,SVM,-1,-1,rbf,21,0.6067796610169491,90,100,1,-1,49
 IX,SVM,-1,-1,poly,10,0.6271379703534777,100,100,4,-1,50
 HUN,SVM,-1,-1,poly,19,0.6342525399129173,10,100,2,-1,5
 HUN,SVM,-1,-1,poly,22,0.6196769456681351,20,100,2,-1,13
 HUN,SVM,-1,-1,poly,17,0.6835066864784547,30,100,4,-1,5
 HUN,SVM,-1,-1,poly,10,0.724812030075188,40,10,4,-1,24
 HUN,SVM,-1,-1,poly,10,0.669710806697108,50,100,4,-1,45
 HUN,SVM,-1,-1,poly,12,0.637904468412943,60,100,4,-1,22
 HUN,SVM,-1,-1,poly,10,0.6692667706708268,70,100,4,-1,27
 HUN,SVM,-1,-1,poly,13,0.6793048973143759,80,100,4,-1,46
 HUN,SVM,-1,-1,poly,11,0.68,90,100,4,-1,44
 HUN,SVM,-1,-1,poly,12,0.6564019448946515,100,100,4,-1,44
 KMT,SVM,-1,-1,poly,12,0.5644490644490644,10,100,4,-1,3
 KMT,SVM,-1,-1,poly,20,0.6572327044025157,20,100,4,-1,10
 KMT,SVM,-1,-1,poly,11,0.6744186046511628,30,10,4,-1,11
 KMT,SVM,-1,-1,poly,16,0.7100213219616205,40,100,4,-1,26
 KMT,SVM,-1,-1,poly,13,0.6397849462365591,50,100,4,-1,27
 KMT,SVM,-1,-1,poly,11,0.6117136659436009,60,100,4,-1,13
 KMT,SVM,-1,-1,poly,15,0.6050328227571116,70,100,4,-1,50
 KMT,SVM,-1,-1,poly,10,0.6832229580573952,80,100,4,-1,40
 KMT,SVM,-1,-1,poly,12,0.6469933184855234,90,100,4,-1,29
 KMT,SVM,-1,-1,poly,12,0.6595505617977528,100,100,4,-1,58
 BHP,SVM,-1,-1,poly,18,0.595213319458897,10,100,3,-1,0
 BHP,SVM,-1,-1,poly,15,0.6306400839454355,20,100,4,-1,10
 BHP,SVM,-1,-1,poly,18,0.6677248677248677,30,100,4,-1,4
 BHP,SVM,-1,-1,poly,15,0.6894343649946638,40,100,4,-1,39
 BHP,SVM,-1,-1,poly,11,0.635091496232508,50,100,4,-1,49
 BHP,SVM,-1,-1,poly,12,0.6221498371335505,60,100,4,-1,40
 BHP,SVM,-1,-1,poly,12,0.6330777656078861,70,100,4,-1,45
 BHP,SVM,-1,-1,poly,22,0.6066298342541436,80,100,4,-1,39
 BHP,SVM,-1,-1,poly,17,0.6309921962095875,90,100,3,-1,41
 BHP,SVM,-1,-1,poly,13,0.6107986501687289,100,100,4,-1,34
 CUZ,SVM,-1,-1,poly,10,0.5821205821205822,10,100,4,-1,10
 CUZ,SVM,-1,-1,rbf,23,0.6362683438155137,20,100,1,-1,11
 CUZ,SVM,-1,-1,poly,20,0.6701902748414377,30,100,3,-1,20
 CUZ,SVM,-1,-1,poly,12,0.7057569296375267,40,100,4,-1,29
 CUZ,SVM,-1,-1,poly,10,0.6376344086021506,50,100,4,-1,41
 CUZ,SVM,-1,-1,rbf,10,0.6496746203904555,60,100,1,-1,36
 CUZ,SVM,-1,-1,poly,17,0.6389496717724289,70,100,4,-1,19
 CUZ,SVM,-1,-1,poly,16,0.6346578366445916,80,100,4,-1,25
