Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AGRO,RF,10,40,20,0.859504132231405,10,3
AGRO,ZR,0,0,0,0,10,8
AHC,RF,10,50,20,0.8644501278772379,10,10
AHC,ZR,0,0,0,0,10,5
AGRO,RF,10,40,20,0.859504132231405,10,3
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,30,20,0.8991596638655462,20,17
AGRO,ZR,0,0,0,0,20,20
ABR,RF,10,10,20,0.8256410256410256,10,9
ABR,ZR,0,0,0,0,10,7
AHT,RF,30,30,20,0.8733766233766234,10,10
AHT,ZR,0,0,0,0,10,5
AHC,RF,10,50,20,0.8644501278772379,10,10
AHC,ZR,0,0,0,0,10,5
AHC,RF,10,20,20,0.875968992248062,20,16
AHC,ZR,0,0,0,0,20,10
AGN,RF,10,50,20,0.8269938650306748,10,7
AGN,ZR,0,0,0,0,10,10
AGRO,RF,10,40,20,0.859504132231405,10,3
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,30,20,0.8991596638655462,20,17
AGRO,ZR,0,0,0,0,20,20
AGRO,RF,10,10,20,0.9358974358974359,30,27
AGRO,ZR,0,0,0,0,30,29
AKR,RF,10,40,20,0.837037037037037,10,8
AKR,ZR,0,0,0,0,10,6
AEM,RF,10,40,20,0.8392638036809816,10,10
AEM,ZR,0,0,0,0,10,8
AFL,RF,10,20,20,0.8478527607361963,10,10
AFL,ZR,0,0,0,0,10,4
AGRO,RF,10,40,20,0.859504132231405,10,3
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,30,20,0.8991596638655462,20,17
AGRO,ZR,0,0,0,0,20,20
AGRO,RF,10,10,20,0.9358974358974359,30,27
AGRO,ZR,0,0,0,0,30,29
AGRO,RF,10,20,20,0.9434782608695652,40,36
AGRO,ZR,0,0,0,0,40,29
AHC,RF,10,50,20,0.8644501278772379,10,10
AHC,ZR,0,0,0,0,10,5
AHC,RF,10,20,20,0.875968992248062,20,16
AHC,ZR,0,0,0,0,20,10
AHC,RF,10,50,20,0.9242819843342036,30,27
AHC,ZR,0,0,0,0,30,4
ABR,RF,10,10,20,0.8256410256410256,10,9
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,20,20,0.9311531841652324,20,19
ABR,ZR,0,0,0,0,20,19
AHT,RF,30,30,20,0.8733766233766234,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,20,20,0.8872549019607843,20,13
AHT,ZR,0,0,0,0,20,12
AGRO,RF,10,40,20,0.859504132231405,10,3
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,30,20,0.8991596638655462,20,17
AGRO,ZR,0,0,0,0,20,20
AGRO,RF,10,10,20,0.9358974358974359,30,27
AGRO,ZR,0,0,0,0,30,29
AGRO,RF,10,20,20,0.9434782608695652,40,36
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,50,50,20,0.9380530973451328,50,38
AGRO,ZR,0,0,0,0,50,26
AHC,RF,10,50,20,0.8644501278772379,10,10
AHC,ZR,0,0,0,0,10,5
AHC,RF,10,20,20,0.875968992248062,20,16
AHC,ZR,0,0,0,0,20,10
AHC,RF,10,50,20,0.9242819843342036,30,27
AHC,ZR,0,0,0,0,30,4
AHC,RF,10,50,20,0.9287598944591029,40,25
AHC,ZR,0,0,0,0,40,5
AGRO,RF,10,40,20,0.859504132231405,10,3
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,30,20,0.8991596638655462,20,17
AGRO,ZR,0,0,0,0,20,20
AGRO,RF,10,10,20,0.9358974358974359,30,27
AGRO,ZR,0,0,0,0,30,29
AGRO,RF,10,20,20,0.9434782608695652,40,36
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,50,50,20,0.9380530973451328,50,38
AGRO,ZR,0,0,0,0,50,26
AGRO,RF,10,10,20,0.9054054054054054,60,36
AGRO,ZR,0,0,0,0,60,34
AKR,RF,10,40,20,0.837037037037037,10,8
AKR,ZR,0,0,0,0,10,6
AKR,RF,20,50,20,0.892059553349876,20,18
AKR,ZR,0,0,0,0,20,11
AGN,RF,10,50,20,0.8269938650306748,10,7
AGN,ZR,0,0,0,0,10,10
AGN,RF,40,50,20,0.8877928483353884,20,14
AGN,ZR,0,0,0,0,20,9
ABR,RF,10,10,20,0.8256410256410256,10,9
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,20,20,0.9311531841652324,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,10,50,20,0.9358752166377816,30,25
ABR,ZR,0,0,0,0,30,27
AFL,RF,10,20,20,0.8478527607361963,10,10
AFL,ZR,0,0,0,0,10,4
AFL,RF,10,10,20,0.8199753390875463,20,20
AFL,ZR,0,0,0,0,20,0
AEM,RF,10,40,20,0.8392638036809816,10,10
AEM,ZR,0,0,0,0,10,8
AEM,RF,10,20,20,0.8655980271270037,20,20
AEM,ZR,0,0,0,0,20,18
