Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,5
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,5
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,10
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,5
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,10
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,4
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,5
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,10
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,4
AHC,RF,0,0,20,0,40,error
AHC,ZR,0,0,0,0,40,5
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,5
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,10
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,4
AHC,RF,0,0,20,0,40,error
AHC,ZR,0,0,0,0,40,5
AHC,RF,0,0,20,0,50,error
AHC,ZR,0,0,0,0,50,4
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,5
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,10
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,4
AHC,RF,0,0,20,0,40,error
AHC,ZR,0,0,0,0,40,5
AHC,RF,0,0,20,0,50,error
AHC,ZR,0,0,0,0,50,4
AHC,RF,0,0,20,0,60,error
AHC,ZR,0,0,0,0,60,14
AHC,RF,0,0,20,0,10,error
AHC,ZR,0,0,0,0,10,5
AHC,RF,0,0,20,0,20,error
AHC,ZR,0,0,0,0,20,10
AHC,RF,0,0,20,0,30,error
AHC,ZR,0,0,0,0,30,4
AHC,RF,0,0,20,0,40,error
