Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AKR,RF,0,0,20,0,10,error
AKR,ZR,0,0,0,0,10,error
AKR,RF,0,0,20,0,20,error
AKR,ZR,0,0,0,0,20,error
AKR,RF,0,0,20,0,30,error
AKR,ZR,0,0,0,0,30,error
AKR,RF,0,0,20,0,40,error
AKR,ZR,0,0,0,0,40,error
AKR,RF,0,0,20,0,50,error
AKR,ZR,0,0,0,0,50,error
AKR,RF,0,0,20,0,60,error
AKR,ZR,0,0,0,0,60,error
AKR,RF,0,0,20,0,70,error
AKR,ZR,0,0,0,0,70,error
AKR,RF,0,0,20,0,80,error
AKR,ZR,0,0,0,0,80,error
AKR,RF,0,0,20,0,90,error
AKR,ZR,0,0,0,0,90,error
AKR,RF,0,0,20,0,100,error
AKR,ZR,0,0,0,0,100,error
AGRO,RF,10,10,20,0.8424908424908425,10,8
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,10,20,0.8735632183908046,20,18
AGRO,ZR,0,0,0,0,20,20
AGRO,RF,20,30,20,0.8714859437751004,30,28
AGRO,ZR,0,0,0,0,30,29
AGRO,RF,10,30,20,0.9071729957805907,40,36
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,10,30,20,0.9466666666666667,50,37
AGRO,ZR,0,0,0,0,50,26
AGRO,RF,30,20,20,0.9389671361502347,60,32
AGRO,ZR,0,0,0,0,60,34
AGRO,RF,40,10,20,0.9601990049751243,70,53
AGRO,ZR,0,0,0,0,70,49
AGRO,RF,10,30,20,0.9523809523809523,80,72
AGRO,ZR,0,0,0,0,80,66
AGRO,RF,10,40,20,0.9661016949152542,90,87
AGRO,ZR,0,0,0,0,90,77
AGRO,RF,20,40,20,0.9333333333333333,100,96
AGRO,ZR,0,0,0,0,100,94
AHC,RF,10,40,20,0.8470948012232415,10,8
AHC,ZR,0,0,0,0,10,2
AHC,RF,10,30,20,0.9047619047619048,20,20
AHC,ZR,0,0,0,0,20,0
AHC,RF,10,20,20,0.9174917491749175,30,29
AHC,ZR,0,0,0,0,30,0
AHC,RF,10,10,20,0.9243986254295533,40,40
AHC,ZR,0,0,0,0,40,0
AHC,RF,10,10,20,0.931899641577061,50,50
AHC,ZR,0,0,0,0,50,0
AHC,RF,10,20,20,0.951310861423221,60,60
AHC,ZR,0,0,0,0,60,0
AHC,RF,10,20,20,0.9686274509803922,70,70
AHC,ZR,0,0,0,0,70,0
AHC,RF,10,40,20,0.9588477366255144,80,80
AHC,ZR,0,0,0,0,80,0
AHC,RF,10,50,20,0.9523809523809523,90,90
AHC,ZR,0,0,0,0,90,0
AHC,RF,20,10,20,0.9680365296803652,100,98
AHC,ZR,0,0,0,0,100,0
ABR,RF,20,10,20,0.8474226804123711,10,10
ABR,ZR,0,0,0,0,10,4
ABR,RF,20,20,20,0.8964059196617337,20,10
ABR,ZR,0,0,0,0,20,17
ABR,RF,20,40,20,0.911062906724512,30,28
ABR,ZR,0,0,0,0,30,25
ABR,RF,10,10,20,0.9242761692650334,40,37
ABR,ZR,0,0,0,0,40,36
ABR,RF,20,50,20,0.9359267734553776,50,35
ABR,ZR,0,0,0,0,50,39
ABR,RF,10,20,20,0.9411764705882353,60,43
ABR,ZR,0,0,0,0,60,37
ABR,RF,40,40,20,0.9297820823244553,70,26
ABR,ZR,0,0,0,0,70,58
ABR,RF,50,40,20,0.9600997506234414,80,48
ABR,ZR,0,0,0,0,80,67
ABR,RF,10,10,20,0.9280205655526992,90,62
ABR,ZR,0,0,0,0,90,84
ABR,RF,40,30,20,0.9442970822281167,100,96
ABR,ZR,0,0,0,0,100,97
AHT,RF,10,10,20,0.7992633517495396,10,6
AHT,ZR,0,0,0,0,10,6
AHT,RF,40,40,20,0.8851224105461394,20,18
AHT,ZR,0,0,0,0,20,9
AHT,RF,10,10,20,0.9152215799614644,30,23
AHT,ZR,0,0,0,0,30,15
AHT,RF,50,40,20,0.9250493096646942,40,18
AHT,ZR,0,0,0,0,40,27
AHT,RF,20,50,20,0.9575757575757575,50,33
AHT,ZR,0,0,0,0,50,33
AHT,RF,10,20,20,0.9585921325051759,60,41
AHT,ZR,0,0,0,0,60,32
AHT,RF,10,10,20,0.9193205944798302,70,40
AHT,ZR,0,0,0,0,70,30
AHT,RF,40,50,20,0.9673202614379085,80,55
AHT,ZR,0,0,0,0,80,23
AHT,RF,10,10,20,0.9552572706935123,90,28
AHT,ZR,0,0,0,0,90,16
AHT,RF,20,40,20,0.9632183908045977,100,35
AHT,ZR,0,0,0,0,100,30
AEM,RF,10,10,20,0.7320954907161804,10,8
AEM,ZR,0,0,0,0,10,0
AEM,RF,20,10,20,0.8800539083557951,20,19
AEM,ZR,0,0,0,0,20,2
AEM,RF,10,30,20,0.8986301369863013,30,23
AEM,ZR,0,0,0,0,30,5
AEM,RF,50,30,20,0.9192200557103064,40,34
